timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,param_p0,param_n0,param_rho,param_phi_plus,param_phi_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,stored_loglik,stored_AIC,stored_BIC,selection_cond_var_median,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
2026-06-07T22:41:34,51,1,510001,"ARX(1,1)",-170.06442621063553,360.12885242127106,393.83523270254767,True,0,1.6975360541015925,0.0507024452116378,0.516249483055094,0.5596962520955929,0.0451903139735782,0.1839365480409851,0.6469388033454418,0.1277289902480817,0.2258683142874629,0.7140077014679902,,,-170.06442621058127,360.1288524211625,393.8352327024392,0.246377000759128,3.597220264640888,4.747382180701136,19.933612675851975,0.11192302722435134,0.20490885070378553,1.432516678580493,0.16854663142416226,1.2739579556196194,-0.5276493399156089,-0.05109465387169211,-0.01583782293985986,0.1423367797260639,0.24796436763086577,1.6424815410810376
2026-06-07T22:43:43,51,2,510002,"ARX(1,1)",-170.06435746884853,360.12871493769705,393.83509521897366,True,0,1.6847209342959726,0.0506805309799122,0.5182625197566338,0.5572902117874502,0.0445325486682642,0.1843008927459987,0.6466951857277998,0.1276528742824624,0.2260888536259518,0.7139111378525013,,,-170.06435746885197,360.12871493770393,393.8350952189805,0.2462306464412518,3.5857331067609004,4.7255073077973195,19.822072542856578,0.11238519605211904,0.20496697569815608,1.431089216116354,0.16879708458029252,1.27179524618513,-0.5259204533972892,-0.051061665148161337,-0.01589661416734032,0.1427615133991029,0.2478088310343739,1.6390327937862756
2026-06-07T22:45:16,51,3,510003,"ARX(1,1)",-170.06450848852654,360.1290169770531,393.8353972583297,True,0,1.6754312018315236,0.0503452908180358,0.5193353650679109,0.5568310364228647,0.0445202175951994,0.1845574565232567,0.6494513270686229,0.1276120076696028,0.2259270343507707,0.7139329095687582,,,-170.06450848807827,360.1290169761565,393.8353972574332,0.24634750634229996,3.5748272289132546,4.710538717539551,19.791782678870565,0.11193094244820018,0.20365658397554048,1.4215439938328784,0.16897483528496995,1.2737257241187105,-0.5299735146280862,-0.05180738187688488,-0.016377678021338927,0.14436268900763669,0.2501787997467068,1.6551651996718728
2026-06-07T22:47:11,51,4,510004,"ARX(1,1)",-170.06438073780484,360.1287614756097,393.8351417568863,True,0,1.6856874953741858,0.0507547120014915,0.5184229101865331,0.5566842234647285,0.044568529181172,0.1841737470221786,0.6449359494917265,0.127716899356911,0.226267842937029,0.713660996859596,,,-170.0643807378109,360.1287614756218,393.8351417568984,0.245924806073907,3.589077289583953,4.72906115222011,19.830861034167462,0.11261753825034627,0.20559385694734836,1.4371408479729662,0.1685837975031474,1.2704299765379536,-0.5232704323921525,-0.050583931421034546,-0.015577567976971678,0.14167923791274245,0.24606290293916208,1.6287218076281302
2026-06-07T22:49:27,51,5,510005,"ARX(1,1)",-170.06437272340236,360.1287454468047,393.8351257280813,True,0,1.6823963186291522,0.0506764741134098,0.518196679230284,0.557332644195215,0.0444649435171209,0.184425513430858,0.6460770077608103,0.1274945319075504,0.2262201158995707,0.7139763818441585,,,-170.06437272398918,360.1287454479784,393.83512572925497,0.24614100721452858,3.580258274700601,4.7188922402725195,19.783419782384538,0.11237188890357885,0.20516346609111574,1.4326845106253825,0.1686802694409709,1.270913628239066,-0.5245442806933818,-0.050795396481805366,-0.01569282688221664,0.14232649669498088,0.24723562767342613,1.6350696219120309
2026-06-07T22:51:40,51,6,510006,"ARX(1,1)",-170.0643781140109,360.1287562280218,393.8351365092984,True,0,1.6816344416970934,0.0504265022054045,0.5189589497599092,0.5564210267419438,0.0445094968602358,0.1842923476492979,0.6478885557053523,0.1275213808412035,0.2261865422135798,0.7138488928355983,,,-170.06437811394807,360.12875622789613,393.8351365091728,0.2461111108780098,3.584882551559979,4.723276391144639,19.812303116313092,0.1120227889815715,0.20414379323788265,1.4250300790093846,0.16877840474861422,1.2710685414637168,-0.5270749380070914,-0.05131764540791525,-0.016053547385393392,0.1432408546298226,0.24850916760672295,1.6436502172069387
2026-06-07T22:54:01,51,7,510007,"ARX(1,1)",-170.06473155283638,360.12946310567276,393.83584338694936,True,0,1.7070253312557055,0.050274267842517,0.5158318158606469,0.5611833580929038,0.0452777342286422,0.1834606018579631,0.6520506004974606,0.1280089680031149,0.2256496298074009,0.7137453145539193,,,-170.06473155229955,360.1294631045991,393.8358433858757,0.24681067255678724,3.614229354214094,4.773476983952893,20.097132872345508,0.11083567115096046,0.20261537257527912,1.415684137257483,0.1687709821215475,1.2783315310024463,-0.5367521429619752,-0.05259210269883433,-0.01681960907070269,0.14478047732162017,0.2522058120559932,1.6720770825133382
2026-06-07T22:56:23,51,8,510008,"ARX(1,1)",-170.06435283340235,360.1287056668047,393.8350859480813,True,0,1.685933624140754,0.0506365240534179,0.5182353269865826,0.5573636615617469,0.044570361487105,0.1842115268905388,0.6466719429210737,0.1277224224984263,0.2261074952136563,0.7138040651762076,,,-170.06435283327517,360.1287056665504,393.8350859478269,0.2461552007731988,3.588139528150169,4.729090644750113,19.844454163934394,0.11228848867174446,0.20488266322146842,1.4314295757859519,0.16871683691196956,1.2720012651180201,-0.5261021025283581,-0.05104530331099275,-0.015872944547642216,0.14261160374223691,0.2476507992913375,1.6390627151212394
2026-06-07T22:58:39,51,9,510009,"ARX(1,1)",-170.06436132109974,360.1287226421995,393.8351029234761,True,0,1.6894203160753014,0.0505608118288131,0.5177434936449516,0.5578047201061989,0.0447710126850735,0.1841071120902901,0.6476957561725658,0.1277124522918225,0.2259733061211035,0.7138801123047751,,,-170.06436130665634,360.1287226133127,393.8351028945893,0.24625437864815636,3.5917008137047377,4.73534473950197,19.875895841451122,0.1119855894475812,0.2044000880912087,1.4277218788763393,0.16872129032179906,1.2726453200307362,-0.5277994159438893,-0.05130486408361351,-0.016029040385835178,0.14300806493553597,0.24847497572561894,1.6445880114365783
2026-06-07T23:00:39,51,10,510010,"ARX(1,1)",-170.0643530760739,360.1287061521478,393.8350864334244,True,0,1.6880083428299608,0.0506239032790608,0.5179691788730716,0.5575855880475726,0.0446808333255621,0.1841392370132338,0.6466524151473186,0.127684556061738,0.2260427574252446,0.7138958615862507,,,-170.06435307597218,360.1287061519444,393.83508643322097,0.24614579483161653,3.5904607592435696,4.733036072902346,19.86133937820958,0.11219503231405428,0.20485376573251657,1.4315614726336914,0.16865808282355993,1.2720643797725555,-0.5261844135033039,-0.0510233046178245,-0.01584070620537323,0.14247644475940932,0.2475704743560875,1.6389210682996818
