timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p,param_phi_n,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,stored_loglik,stored_AIC,stored_BIC
2026-06-07T22:24:43,51,1,510001,"ARX(1,1)",-171.405215708061,364.810431416122,401.8874497255263,True,0,0.0530538656851546,0.0264646155151811,0.9484562832694958,0.2624180574354137,0.0229036241608711,0.7229659020648508,0.3221677898925696,0.5130949563152432,0.1208578741267857,0.221463738353779,0.7632064524617553,,,-171.4052157081374,364.8104314162748,401.8874497256791
2026-06-07T22:26:54,51,2,510002,"ARX(1,1)",-172.0366866380479,366.0733732760958,403.15039158550013,True,0,0.9324924707223547,0.0373547395487554,0.6022548913839955,0.2697502897462678,0.1366956215240774,0.7076083561384671,0.236089409276455,0.5552366967561297,0.1099530062385947,0.2660077771403473,0.6941867748792603,,,-172.0366865623427,366.0733731246854,403.1503914340897
2026-06-07T22:29:13,51,3,510003,"ARX(1,1)",-171.33298655478393,364.66597310956786,401.74299141897217,True,0,0.057485660555408,0.0158668492361329,0.9456865166039736,0.25844773734809,0.0233600656392684,0.7339366050747806,0.3154054347169856,0.447763026907542,0.12333477636562,0.2270608402136925,0.7508610618925217,,,-171.3329865541624,364.6659731083248,401.7429914177291
2026-06-07T22:31:14,51,4,510004,"ARX(1,1)",-171.3816559156835,364.763311831367,401.8403301407713,True,0,0.0589404847568906,0.0336525719381861,0.9471726324241652,0.2578819837065692,0.022175462494352,0.7256810738716046,0.3063405641883733,0.4600636664816835,0.1197822307634052,0.2310945146528139,0.7489755111294063,,,-171.38165590955208,364.76331181910416,401.84033012850847
2026-06-07T22:32:53,51,5,510005,"ARX(1,1)",-172.03676483009605,366.0735296601921,403.1505479695964,True,0,0.9539061774656366,0.0383843933133055,0.5968713888272499,0.268782740355607,0.1393951671932869,0.7078089986678878,0.2347000833891003,0.5578924973156776,0.1103022884123781,0.2657097066134083,0.6939066030481251,,,-172.0367648255899,366.0735296511798,403.1505479605841
2026-06-07T22:34:20,51,6,510006,"ARX(1,1)",-171.31233264182808,364.62466528365616,401.70168359306047,True,0,0.0574109818434079,0.0011981768466918,0.944930607071354,0.2565847876878295,0.0236321161018087,0.7428627981735653,0.3135701739711037,0.4227195218230165,0.1232541426517217,0.2268415514209832,0.7484519939077778,,,-171.31233264179428,364.62466528358857,401.7016835929929
2026-06-07T22:36:58,51,7,510007,"ARX(1,1)",-172.0375098014241,366.0750196028482,403.1520379122525,True,0,0.963326440877502,0.0374702129639648,0.5925688784373624,0.2685135262287218,0.1412675086224291,0.7089821521918598,0.2348952680967447,0.5522053044493674,0.1108608256980285,0.2658584259233459,0.6930288702798214,,,-172.03750980274236,366.0750196054847,403.152037914889
2026-06-07T22:38:46,51,8,510008,"ARX(1,1)",-171.312343860046,364.624687720092,401.70170602949634,True,0,0.0575280316378546,0.0016583393516553,0.9448898720727714,0.2568514312408196,0.0236351511284639,0.7423840590746191,0.3135354325702578,0.4234216395477593,0.1231469039054609,0.2271131804982276,0.7483674631246456,,,-171.31234385984283,364.6246877196857,401.70170602909
2026-06-07T22:41:03,51,9,510009,"ARX(1,1)",-171.31260226531208,364.62520453062416,401.70222284002847,True,0,0.0573241937812222,0.0003142698187132,0.9449475726494282,0.2561413783609268,0.0236159200822108,0.7437147477792311,0.3136858400788853,0.4202120000250666,0.1229098136471168,0.227211119547743,0.748315511832951,,,-171.31260226574443,364.62520453148886,401.7022228408932
2026-06-07T22:42:49,51,10,510010,"ARX(1,1)",-172.0367516420455,366.073503284091,403.1505215934953,True,0,0.9528564320132232,0.0376486194340352,0.5966786607943128,0.2682723405873817,0.1396457393694239,0.7088925273506479,0.2349766064647388,0.5537456707239533,0.1107432729972342,0.265554117463303,0.6936431786920746,,,-172.03675164211745,366.0735032842349,403.1505215936392
