timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p,param_phi_n,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,stored_loglik,stored_AIC,stored_BIC
2026-06-01T19:01:50,1,1,10001,"ARX(2,1)",-168.56312934225699,361.12625868451397,401.5739150220459,True,0,0.0655554602628755,3.952979801963712e-05,0.9368466521046372,0.3011089218533817,0.0277561419865723,0.6988705191658728,0.3024251936861134,0.4310604146820446,0.1213748867804687,0.2006507097770568,0.6158322684177544,0.1454124411682737,,-168.56312932408508,361.12625864817016,401.5739149857021
2026-06-01T19:06:49,1,2,10002,"ARX(2,1)",-168.49561827039702,360.99123654079403,401.438892878326,True,0,0.0600097550856178,6.55405548626698e-05,0.9397522715760784,0.2769278917327916,0.026786431793549,0.7230347724769737,0.3130991340087828,0.4525089793599591,0.1215318928963772,0.205116973775466,0.6214640185669476,0.1414547913091337,,-168.49561826986638,360.9912365397328,401.4388928772647
2026-06-01T19:08:27,1,3,10003,"ARX(2,1)",-168.4941752144767,360.9883504289534,401.4360067664854,True,0,0.0596233102869932,4.628221576378055e-05,0.939854986132607,0.2776133557303653,0.0268304113702358,0.7223606054194734,0.3137527337178988,0.4492785279695848,0.1211937228913023,0.2032576001192828,0.6239576999173363,0.1409436774317036,,-168.4941752141185,360.988350428237,401.436006765769
2026-06-01T19:10:09,1,4,10004,"ARX(2,1)",-170.15880224321975,364.3176044864395,404.76526082397146,True,0,0.945960261442564,0.0365844287384064,0.6435911613118428,0.3056974288281925,0.0971350168292858,0.6691133694599621,0.2201440478450575,0.5424809212933213,0.0987525249664897,0.2588189578013219,0.5609544360035498,0.1459292389823746,,-170.1588022431299,364.3176044862598,404.7652608237918
2026-06-01T19:12:23,1,5,10005,"ARX(2,1)",-167.96921364488628,359.93842728977256,400.3860836273045,True,0,0.2542120887157602,0.3049546685894884,0.5296728516833906,0.2331599237459628,0.2061970146353891,0.7090800502961889,0.4761323575241123,0.4378989180384887,0.2223313464757376,0.2297500754688537,0.2632440891527962,0.2725647207493017,,-167.96921364489162,359.93842728978325,400.3860836273152
2026-06-01T19:14:10,1,6,10006,"ARX(2,1)",-168.57750435116802,361.15500870233603,401.602665039868,True,0,0.0686293512836222,0.0001873489930524,0.9361835637294376,0.3031683897569541,0.0273088691079943,0.6967305492330778,0.2983631278469068,0.4320094371638893,0.1250512129350454,0.2060243533895197,0.6021807821215968,0.1501461147004205,,-168.5775043530719,361.1550087061438,401.60266504367576
2026-06-01T19:16:04,1,7,10007,"ARX(2,1)",-170.1614915891933,364.3229831783866,404.77063951591856,True,0,0.9817335822807176,0.0361029879712622,0.6330337416027922,0.3016774352994629,0.10016471142691,0.6734897385365607,0.2195073076558771,0.5416501059002833,0.100892086986019,0.2579196829119571,0.5617992099638365,0.1441590311227893,,-170.1614916200515,364.322983240103,404.7706395776349
2026-06-01T19:17:50,1,8,10008,"ARX(2,1)",-168.49532541973275,360.9906508394655,401.43830717699745,True,0,0.0591031848612,7.640645108675288e-05,0.9399571834282044,0.2808159137372733,0.0269161779457404,0.7191411160236522,0.3149708995737,0.451127354673962,0.120019680938491,0.2020657999738061,0.6267652441898572,0.1409692634524539,,-168.4953254198245,360.990650839649,401.43830717718095
2026-06-01T19:19:40,1,9,10009,"ARX(2,1)",-169.43389591188304,362.8677918237661,403.31544816129804,True,0,0.0971209248477182,0.0489967682341292,0.9289982887731932,0.3238493666292463,0.0280309618994953,0.6378728984620817,0.2762217299163181,0.6364869257509606,0.1092743212401472,0.2455661860353539,0.557984945200562,0.1737112841742012,,-169.4338959135004,362.8677918270008,403.3154481645328
2026-06-01T19:22:30,1,10,10010,"ARX(2,1)",-168.49417691127778,360.98835382255555,401.4360101600875,True,0,0.0594965267282482,7.261232335500887e-05,0.9398999266776488,0.2783719696605422,0.0268381257598562,0.7215872832195079,0.3139787625215636,0.4491577964882272,0.1210449964540025,0.202978630992242,0.624543052020234,0.1408111649366037,,-168.49417691145538,360.9883538229108,401.4360101604427
