timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,message,param_shape_p,param_shape_n,param_sigma_p,param_sigma_n,se_shape_p,se_shape_n,se_sigma_p,se_sigma_n,param_c,param_rho_1,param_phi_1,se_c,se_rho_1,se_phi_1,param_rho_2,se_rho_2,param_phi_2,se_phi_2,selection_eligible,selection_reason,selection_bounds_ok,selection_mean_stationary,selection_loglik_upper_threshold,selection_loglik_plausible,selection_implied_variance_bounds_ok,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max,rank,se_message,se_hessian_ridge,se_used_pseudoinverse,se_used_opg_fallback
2026-06-01T16:33:45,46,11,460011,constant,-199.8438794468315,407.6877588936629,421.1703110061736,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675902499333652,0.1859736921516376,0.2982610577054227,1.5725315490444909,0.6149307836746803,0.11908086696126204,0.04991657696667024,0.9320970298234836,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979334350594643,0.6979334350594643,0.6979334350594643,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,1,computed,1e-08,False,False
2026-06-01T16:32:47,8,9,80009,constant,-199.8438794473616,407.6877588947232,421.1703110072338,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675907193985152,0.1859749823908999,0.298259768899888,1.572518868912936,0.6262160957951595,0.11869985083934856,0.05069238620123554,0.9285281036419097,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.697927569415814,0.697927569415814,0.697927569415814,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,2,computed,1e-08,False,False
2026-06-01T16:41:51,36,27,360027,constant,-199.84387944797857,407.68775889595713,421.17031100846776,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675858751531415,0.1859701773567156,0.2982633126823455,1.5725535845775431,0.6344089022536645,0.11922995951224093,0.051234600651165536,0.9327994619750029,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979373395258304,0.6979373395258304,0.6979373395258304,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,3,computed,1e-08,False,False
2026-06-01T16:41:54,18,27,180027,constant,-199.8438794480161,407.6877588960323,421.1703110085429,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675954358271581,0.1859705905461445,0.2982573256352216,1.5725529511301937,0.6236679205981838,0.1180463806274271,0.05039188004763676,0.9241969998768559,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979369391862869,0.6979369391862869,0.6979369391862869,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,4,computed,1e-08,False,False
2026-06-01T16:32:03,1,8,10008,constant,-199.8438794485288,407.6877588970576,421.1703110095682,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.67593878717343,0.1859709987592324,0.2982572455843043,1.5725487169696224,0.6376478228356266,0.11873389859394828,0.05141596166990665,0.9285232551911643,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979339591698559,0.6979339591698559,0.6979339591698559,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,5,computed,1e-08,False,False
2026-06-01T16:32:51,11,9,110009,constant,-199.84387944855573,407.68775889711145,421.1703110096221,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675860784758473,0.1859679419823367,0.2982642378931862,1.57258018200361,0.6311420656462209,0.1191252992922667,0.05122527609515322,0.9308905635271488,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979490260117955,0.6979490260117955,0.6979490260117955,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,6,computed,1e-08,False,False
2026-06-01T16:46:22,27,34,270034,constant,-199.84387944867444,407.6877588973489,421.1703110098595,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675891539836207,0.185963788659102,0.2982620334133901,1.572608684447783,0.6671771114715865,0.11933612835470013,0.053163032371988064,0.933806660112188,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979546427798811,0.6979546427798811,0.6979546427798811,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,7,computed,1e-08,False,False
2026-06-01T16:35:26,4,14,40014,constant,-199.84387944869889,407.68775889739777,421.1703110099084,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.675909593236625,0.1859741697116521,0.2982597004837896,1.5725385913819645,0.6398605252045267,0.11828628804492945,0.051562933047010984,0.924956816058997,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979371996979529,0.6979371996979529,0.6979371996979529,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,8,computed,1e-08,False,False
2026-06-01T16:47:20,23,36,230036,constant,-199.8438794489361,407.6877588978721,421.1703110103828,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6759514500495447,0.185974221379843,0.2982567929115438,1.5725323217211529,0.6432907497597673,0.11782121486975884,0.05169866004189466,0.9213855136868783,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.697932742653299,0.697932742653299,0.697932742653299,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,9,computed,1e-08,False,False
2026-06-01T16:49:15,15,39,150039,constant,-199.84387944899836,407.6877588979967,421.1703110105073,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2.6759558665722545,0.1859724934397505,0.2982572724739724,1.5725520318526605,0.6444739915514912,0.11817497001441198,0.05182486755373002,0.9243633956861452,,,,,,,,,,,True,eligible,True,True,-150.0,True,True,0.6979411565231237,0.6979411565231237,0.6979411565231237,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,10,computed,1e-08,False,False
