seed,draw,mean_type,success,optimizer_success,loglik,AIC,BIC,selection_eligible,selection_reason,selection_bounds_ok,selection_mean_stationary,selection_loglik_upper_threshold,selection_loglik_plausible,selection_implied_variance_bounds_ok,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,True,-184.39617687377503,382.79235374755007,406.3868199444437,True,eligible,True,True,-150.0,True,True,0.3944958765475569,0.3944958765475569,0.3944958765475569,2.627810613250328,2.627810613250328,2.627810613250328,0.2810397561065146,0.2810397561065146,0.2810397561065146,0.3944958765475569,0.3944958765475569,-0.16567651985773912,-0.16567651985773912,-0.16567651985773912,0.7970393673538773,0.7970393673538773,0.7970393673538773,9.816531715613308e-08,1.4360119957870263e-06,98165.31715613308,1436011.9957870264
1,2,"ARX(1,1)",True,True,-184.3961772600998,382.7923545201996,406.3868207170932,True,eligible,True,True,-150.0,True,True,0.394529530081959,0.394529530081959,0.394529530081959,2.627137238786227,2.627137238786227,2.627137238786227,0.2810231834197858,0.2810231834197858,0.2810231834197858,0.394529530081959,0.394529530081959,-0.16572019504021068,-0.16572019504021068,-0.16572019504021068,0.7973042067099961,0.7973042067099961,0.7973042067099961,9.815983341592392e-08,1.4359861320772672e-06,98159.83341592392,1435986.1320772672
1,3,"ARX(1,1)",True,True,-184.39619369039275,382.7923873807855,406.3868535776791,True,eligible,True,True,-150.0,True,True,0.394519986155048,0.394519986155048,0.394519986155048,2.624130672744342,2.624130672744342,2.624130672744342,0.2807991753183207,0.2807991753183207,0.2807991753183207,0.394519986155048,0.394519986155048,-0.16564109048673262,-0.16564109048673262,-0.16564109048673262,0.7976954747348899,0.7976954747348899,0.7976954747348899,9.815572605833323e-08,1.4359452790929146e-06,98155.72605833324,1435945.2790929147
1,4,"ARX(1,1)",True,True,-184.39617695816477,382.7923539163295,406.3868201132231,True,eligible,True,True,-150.0,True,True,0.39446212980821527,0.39446212980821527,0.39446212980821527,2.628194851926225,2.628194851926225,2.628194851926225,0.281169062247416,0.281169062247416,0.281169062247416,0.39446212980821527,0.39446212980821527,-0.16554975257160803,-0.16554975257160803,-0.16554975257160803,0.7964702722456651,0.7964702722456651,0.7964702722456651,9.816534490169897e-08,1.4359897262791366e-06,98165.34490169896,1435989.7262791365
1,5,"ARX(1,1)",True,True,-184.3961778865583,382.7923557731166,406.3868219700102,True,eligible,True,True,-150.0,True,True,0.39444099773283237,0.39444099773283237,0.39444099773283237,2.627924862119138,2.627924862119138,2.627924862119138,0.2811837638014971,0.2811837638014971,0.2811837638014971,0.39444099773283237,0.39444099773283237,-0.16552231707003673,-0.16552231707003673,-0.16552231707003673,0.7963589369533193,0.7963589369533193,0.7963589369533193,9.816583897287303e-08,1.4359135240956216e-06,98165.83897287304,1435913.5240956217
1,6,"ARX(1,1)",True,True,-184.3961779110253,382.7923558220506,406.3868220189442,True,eligible,True,True,-150.0,True,True,0.3945350430555929,0.3945350430555929,0.3945350430555929,2.627537242009212,2.627537242009212,2.627537242009212,0.2809484050569169,0.2809484050569169,0.2809484050569169,0.3945350430555929,0.3945350430555929,-0.1657709053934091,-0.1657709053934091,-0.1657709053934091,0.797493820908622,0.797493820908622,0.797493820908622,9.816593999076557e-08,1.4359493357531377e-06,98165.93999076558,1435949.3357531377
1,7,"ARX(1,1)",True,True,-184.39617683257129,382.7923536651425,406.3868198620361,True,eligible,True,True,-150.0,True,True,0.3944740584705082,0.3944740584705082,0.3944740584705082,2.628067146015732,2.628067146015732,2.628067146015732,0.2810735651547461,0.2810735651547461,0.2810735651547461,0.3944740584705082,0.3944740584705082,-0.16564929792220134,-0.16564929792220134,-0.16564929792220134,0.7968533516205093,0.7968533516205093,0.7968533516205093,9.816177947329613e-08,1.4359620349276394e-06,98161.77947329613,1435962.0349276394
1,8,"ARX(1,1)",True,True,-184.3961793674311,382.7923587348622,406.3868249317558,True,eligible,True,True,-150.0,True,True,0.39442213069639176,0.39442213069639176,0.39442213069639176,2.6289898647843426,2.6289898647843426,2.6289898647843426,0.2812207636463572,0.2812207636463572,0.2812207636463572,0.39442213069639176,0.39442213069639176,-0.16555951139551134,-0.16555951139551134,-0.16555951139551134,0.7962381747878341,0.7962381747878341,0.7962381747878341,9.816938123169075e-08,1.4360014444538234e-06,98169.38123169076,1436001.4444538234
1,9,"ARX(1,1)",True,True,-184.39617723411024,382.7923544682205,406.3868206651141,True,eligible,True,True,-150.0,True,True,0.3944633626787272,0.3944633626787272,0.3944633626787272,2.627802206337185,2.627802206337185,2.627802206337185,0.2811041911508128,0.2811041911508128,0.2811041911508128,0.3944633626787272,0.3944633626787272,-0.16554456472567253,-0.16554456472567253,-0.16554456472567253,0.7965886693873732,0.7965886693873732,0.7965886693873732,9.816169857910208e-08,1.435956819107576e-06,98161.69857910209,1435956.819107576
1,10,"ARX(1,1)",True,True,-184.39617756988991,382.79235513977983,406.3868213366735,True,eligible,True,True,-150.0,True,True,0.3945041863405866,0.3945041863405866,0.3945041863405866,2.6270517133565883,2.6270517133565883,2.6270517133565883,0.2809590130869666,0.2809590130869666,0.2809590130869666,0.3945041863405866,0.3945041863405866,-0.16567721110710726,-0.16567721110710726,-0.16567721110710726,0.7972439831235404,0.7972439831235404,0.7972439831235404,9.816163134809363e-08,1.4359897340016237e-06,98161.63134809364,1435989.7340016237
