mean_type,seed,draw,loglik,AIC,BIC,p_bar,n_bar,initial_p_0,initial_n_0,se_p_bar,se_n_bar,sigma_p,sigma_n,implied_variance,optimizer_success,parameter_bounds_ok,implied_variance_bounds_ok,mean_stationary,selection_reason
constant,46,11,-199.8438794468315,407.6877588936629,421.1703110061736,2.675902499333652,0.1859736921516376,2.675902499333652,0.1859736921516376,0.6149307836746803,0.11908086696126204,0.2982610577054227,1.5725315490444909,0.6979334350594643,True,True,True,True,eligible
"ARX(1,1)",35,31,-184.3961765607806,382.7923531215612,406.3868193184548,2.6277051835580143,0.281090474172481,2.6277051835580143,0.281090474172481,0.6891771749774459,0.15335142391447945,0.2856773450023609,0.8002870587214355,0.394478110799236,True,True,True,True,eligible
"ARX(2,1)",27,15,-181.88482440071976,379.76964880143953,406.7347530264609,3.31709893613468,0.2281027284590046,3.31709893613468,0.2281027284590046,2.613269798512914,0.14252532649840294,0.2465332955528865,0.928387445067066,0.39821133029104605,True,True,True,True,eligible
"ARX(2,2)",18,1,-181.6884147883301,381.3768295766602,411.7125718298092,2.6647708790957423,0.2820992798644878,2.6647708790957423,0.2820992798644878,0.4090809532654389,0.1585532779814331,0.2712036269449259,0.8403684078582544,0.395221536718358,True,True,True,True,eligible
