set,p,n,sigma_p,sigma_n
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405
