model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,p,o,q,nobs,num_parameters,loglikelihood,aic,bic,persistence_proxy,stable_by_proxy,implied_initial_variance,implied_initial_variance_status,initialization_method,restart_attempts,valid_restart_attempts,optimizer_success,convergence_flag,covariance_type,selection_status,selected_checks_passed,resid_skewness,resid_excess_kurtosis,std_resid_skewness,std_resid_excess_kurtosis
M129,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,688,13,103.13904048619361,-180.27808097238722,-121.33882607925375,0.9041322653548594,True,0.05505648774401612,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.056563498404813485,6.1580147710145035,0.2176655509512745,2.1564337781401957
M132,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,688,14,103.80326749320768,-179.60653498641537,-116.13349125534856,0.8284382342699228,True,0.054764917833836024,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.0570141438242154,6.1039820049973486,0.2152571033620807,2.2436190882598757
M121,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,688,10,101.83073696416983,-183.66147392833966,-138.32358554900622,0.9078120861249988,True,0.06571884961156962,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06946608823610194,6.045101149727387,0.17463377547404232,2.0746321991956886
M124,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,688,11,101.83078565127305,-181.6615713025461,-131.78989408527931,0.9076539720938459,True,0.06570141934050173,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06946952470315523,6.045039831199789,0.174664243269821,2.0742976737110146
M127,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,688,11,101.83073695933945,-181.6614739186789,-131.78979670141211,0.9078119408166045,True,0.06571914724966152,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06946647830003337,6.045100581183522,0.17463361957390602,2.074635148448529
M130,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,688,12,101.8386248222333,-179.6772496444666,-125.27178358926648,0.8486000615608333,True,0.06554008778270273,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.069458303565657,6.04274621802146,0.17169529293754746,2.0825336381011876
M122,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,688,11,104.42731036519619,-186.85462073039238,-136.9829435131256,0.9253190237480483,True,0.06585923617014366,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05623710170882616,6.133593218812235,0.17648586878480343,2.5464389250625548
M125,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,688,12,104.42731036614842,-184.85462073229684,-130.44915467709671,0.9253201887198117,True,0.06585884724227702,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05623519987869183,6.133592832999373,0.17648744045260736,2.5464392732111154
M128,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,688,13,104.90988571429138,-183.81977142858275,-124.88051653544929,0.9123515491674903,True,0.06474890928720049,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05617455167419973,6.138844071574585,0.16851927614897202,2.2850177609868503
M131,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,688,14,105.60552390667301,-183.21104781334603,-119.73800408227922,0.8653387802630896,True,0.06237243551108274,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.054423517655831116,6.134048584125111,0.17497358413508596,2.111547157878176
M135,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,688,12,101.90006787236499,-179.80013574472997,-125.39466968952985,0.9067124666448255,True,0.05945485240554926,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.056458390810440365,6.130678154251971,0.16633515118861533,2.774757014617209
M138,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,688,13,101.90444361016363,-177.80888722032725,-118.86963232719378,0.9054815223426119,True,0.059449530159008106,proxy_from_log_variance,arch_default,50,49,True,0,robust,passed_checks,True,-0.05656905031512833,6.129377345428217,0.17025390704778354,2.768638875384518
M141,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,688,14,103.5168097080911,-179.0336194161822,-115.5605756851154,0.9051061854343221,True,0.05512842077691113,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.05462554271922217,6.160627690365059,0.21359245147701236,2.1760064401438237
M144,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,688,15,104.26782896230124,-178.53565792460248,-110.52882535560232,0.8293877975051624,True,0.05482148502228434,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.05710471874606383,6.08950254665649,0.20875321584394782,2.2577746687953537
M133,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,688,11,102.02428021921719,-182.04856043843438,-132.1768832211676,0.9098191309235723,True,0.06607407591188015,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06900873792920822,6.043458500898447,0.17630498726482133,2.1031206039845225
M136,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,688,12,102.02428193209201,-180.04856386418402,-125.6430978089839,0.9097913167203205,True,0.06607021230301724,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06900943745312274,6.043457847696686,0.17631340322942354,2.103067180363446
M139,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,688,12,102.02428298099744,-180.04856596199488,-125.64309990679476,0.9097812855195299,True,0.06607965091335016,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06900736528373295,6.043473202681355,0.17629719246596678,2.1032338026288784
M142,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,688,13,102.03587121020867,-178.07174242041734,-119.13248752728387,0.8520017359472492,True,0.06591389038574921,exact,arch_default,50,50,True,0,robust,passed_checks,True,-0.06900296547540273,6.041109597944086,0.17295383927625926,2.1114083991740076
M134,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,688,12,104.71707568414121,-185.43415136828241,-131.0286853130823,0.927994333584502,True,0.06655001380352801,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05555921776582521,6.135242739361033,0.17472526539294897,2.595929357143759
M137,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,688,13,104.71707567741097,-183.43415135482195,-124.49489646168848,0.9279924407467204,True,0.06654939240734327,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.055559210019541824,6.135242233383051,0.17472573146752163,2.5959187737337057
M140,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,688,14,105.28491346840164,-182.56982693680328,-119.09678320573647,0.9144048664145429,True,0.06534752923282146,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05522931592371138,6.139437791198937,0.16502462387490097,2.312147336350293
M143,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,688,15,106.10430252067096,-182.2086050413419,-114.20177247234176,0.8690799308060583,True,0.06309616142152354,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-0.05359823541512475,6.133579767210119,0.17090791122033727,2.1198197118844995
M099,mix_normal,Gaussian mixture,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,688,7,41.43770290374214,-68.87540580748428,-37.13888394195088,0.9171702223572782,True,0.08763414133241897,proxy_from_log_variance,arch_default,50,49,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,-0.034549139277891786,2.5957885276679047
M102,mix_normal,Gaussian mixture,Constant_anchor,Constant,EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,688,8,43.08550576499084,-70.17101152998168,-33.900700826514935,0.8985340584232431,True,0.08705329375492597,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-0.4131294481798554,6.7278829224832695,0.038312504378981545,2.441453153847652
