model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,31,random_31,21.161415725284613,True,0,True,0.910445796653629,0.09744462830280842,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,32,random_32,21.16141580205687,True,0,True,0.9104452831108436,0.09744903518555419,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,33,random_33,21.16141564893385,True,0,True,0.9104324522876266,0.09744356367299226,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,34,random_34,21.161415794753424,True,0,True,0.9104420524226802,0.09744636978644987,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,35,random_35,21.161415803473552,True,0,True,0.91044689670698,0.09745057754978646,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,36,random_36,21.161415645882528,True,0,True,0.9104670349694713,0.09747111107116364,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,37,random_37,21.161415656081594,True,0,True,0.9104411989384811,0.09744190710338904,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,38,random_38,21.161415795187942,True,0,True,0.9104434717485927,0.09744675806163608,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,39,random_39,21.16141578547513,True,0,True,0.910454592482397,0.09745721931471125,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,40,random_40,21.161415775042595,True,0,True,0.9104449803471819,0.09744588131015045,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,41,random_41,21.16141579874924,True,0,True,0.9104472775259668,0.09744963697967045,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,42,random_42,21.161415525900914,True,0,True,0.9104551469932811,0.0974688563306062,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,43,random_43,21.16141576681039,True,0,True,0.9104459615558746,0.09744590982462922,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,44,random_44,21.16141579178165,True,0,True,0.9104440216790342,0.09744974000558904,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,45,random_45,21.161415577919403,True,0,True,0.9104656627496879,0.09746634971902406,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,46,random_46,21.161415358157583,True,0,True,0.9104739235903827,0.09746935576471248,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,47,random_47,21.16141558746403,True,0,True,0.9104466411090375,0.09744460360410984,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,48,random_48,21.161415598374504,True,0,True,0.9104584020703337,0.09745167338462724,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,49,random_49,21.161415702358475,True,0,True,0.9104487048010723,0.09744802139082673,exact,
M001,normal,Normal,Constant_anchor,Constant,GARCH,"GARCH(1,1)","(1,1)",primary,50,random_50,21.161415497584773,True,0,True,0.9104701132025953,0.09747200447820804,exact,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,1,default,21.367664043633184,True,0,True,0.9037410635827621,0.08942777851644834,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,2,random_2,21.367663946390486,True,0,True,0.9037427966001723,0.08943352049575026,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,3,random_3,21.3676640432046,True,0,True,0.9037414026413696,0.08942813665345205,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,4,random_4,21.367664044750498,True,0,True,0.9037410853261237,0.08942812237983726,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,5,random_5,21.367663908168367,True,0,True,0.9037314385557385,0.08941674712672122,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,6,random_6,21.367664046890155,True,0,True,0.9037394723761631,0.08942642484013219,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,7,random_7,21.36766402238957,True,0,True,0.9037344278802903,0.0894231201938616,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,8,random_8,21.367664035744987,True,0,True,0.9037367427080364,0.08942520442908891,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,9,random_9,21.367663944905146,True,0,True,0.903743185175822,0.08943424826798796,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,10,random_10,21.367664043800126,True,0,True,0.9037375278775821,0.08942461086709468,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,11,random_11,21.367663941757122,True,0,True,0.9037400788883045,0.08942558488579985,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,12,random_12,21.36766404090198,True,0,True,0.9037380123083243,0.08942453741730348,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,13,random_13,21.367663988130353,True,0,True,0.903740812551669,0.08942523174132981,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,14,random_14,21.367663981315832,True,0,True,0.9037455591009058,0.08943078304606064,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,15,random_15,21.367664044099122,True,0,True,0.9037394875726104,0.08942754384817277,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,16,random_16,21.367664045646855,True,0,True,0.9037380199586769,0.08942532598712437,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,17,random_17,21.36766388398943,True,0,True,0.903757012721387,0.08943844325117199,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,18,random_18,21.367664032551176,True,0,True,0.9037366537296454,0.08942516492795731,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,19,random_19,21.367664040351674,True,0,True,0.9037410082355344,0.08942783555036028,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,20,random_20,21.36766399965663,True,0,True,0.9037426119579712,0.08942511439859287,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,21,random_21,21.367664042987613,True,0,True,0.9037397192321378,0.08942742093723628,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,22,random_22,21.367663929730796,True,0,True,0.9037253851862204,0.08941987486116976,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,23,random_23,21.367664044057456,True,0,True,0.9037393563215195,0.08942714909488299,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,24,random_24,21.367663960338373,True,0,True,0.9037316711064834,0.08942430078046651,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,25,random_25,21.367663718974615,True,0,True,0.9037438823138242,0.08941801520267002,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,26,random_26,21.36766404459849,True,0,True,0.9037378447562758,0.08942558811761069,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,27,random_27,21.367663992094826,True,0,True,0.9037353100018459,0.08942670465756009,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,28,random_28,21.36766386361113,True,0,True,0.9037251196034217,0.08941211958496574,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,29,random_29,21.367664042827172,True,0,True,0.9037394527046175,0.08942588529033792,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,30,random_30,21.367663890046533,True,0,True,0.9037311025958075,0.0894193772538463,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,31,random_31,21.367664043633184,True,0,True,0.9037410635827621,0.08942777851644834,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,32,random_32,21.36766404571928,True,0,True,0.903739964285859,0.08942686912391484,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,33,random_33,21.367663956187215,True,0,True,0.9037479124117545,0.08943416300829582,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,34,random_34,21.367664043633184,True,0,True,0.9037410635827621,0.08942777851644834,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,35,random_35,21.367663703483633,True,0,True,0.9037239284682566,0.08941356627780178,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,36,random_36,21.367664046584995,True,0,True,0.9037409756779962,0.08942783077714647,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,37,random_37,21.36766394621298,True,0,True,0.9037364156838315,0.08942309216767914,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,38,random_38,21.367664043633184,True,0,True,0.9037410635827621,0.08942777851644834,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,39,random_39,21.36766402556433,True,0,True,0.903745354590615,0.0894323742968239,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,40,random_40,21.36766381892323,True,0,True,0.9037201683767614,0.08941016787636588,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,41,random_41,21.36766404485373,True,0,True,0.903738028620811,0.08942509270700294,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,42,random_42,21.367663986787054,True,0,True,0.9037364182194836,0.08942933394501443,exact_under_symmetry,
M002,normal,Normal,Constant_anchor,Constant,GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",primary,43,random_43,21.36766392023665,True,0,True,0.9037418753524717,0.08942479904507451,exact_under_symmetry,
