timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,message,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p,param_phi_n,param_sigma_p,param_sigma_n,se_p0,se_n0,se_rho_p,se_rho_n,se_phi_p,se_phi_n,se_sigma_p,se_sigma_n,param_c,param_rho_1,param_phi_1,se_c,se_rho_1,se_phi_1,param_rho_2,se_rho_2,param_phi_2,se_phi_2,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_eligible,selection_reason,selection_persistence_p,selection_persistence_n,selection_sigma_min,selection_uncond_var_ref,selection_max_p_t,selection_max_n_t,selection_shape_max,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max,rank,se_message,se_hessian_ridge,se_used_pseudoinverse,se_used_opg_fallback
2026-06-01T17:22:19,5,34,50034,constant,-76.86395409408308,169.72790818816617,196.69301241318746,True,0,Optimization terminated successfully,2.270537273738503,2.6373074848876783,0.9830742559234552,0.6391931084194377,0.0026366633306631,0.3485688705835181,0.0313802671447959,0.0587271626267424,0.008474780243408624,5.809644246833675,1.8577132175810934e-06,0.02854459271028165,1.9649427387983555e-06,0.09373392340402457,1.9910770399847085e-06,2.0746845814590483e-06,,,,,,,,,,,-76.86395409407281,169.72790818814562,196.6930124131669,-76.86395409408308,169.72790818816617,196.69301241318746,-1.0274447959091049e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.9857109192541184,0.9877619790029557,0.0313802671447959,0.011331602174992125,181.31953830832722,867.2604427858406,867.2604427858406,0.1925294893138041,0.29677061512542563,3.1696260623876182,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,1,computed,1e-08,False,False
2026-06-01T16:31:39,8,1,80001,constant,-95.90068709003478,207.80137418006956,234.76647840509085,True,0,Optimization terminated successfully,7.851649421474207,9.784475029740138,0.1991401623467746,0.2695559595756049,0.0962063498204265,0.5316357118126582,0.0226907623010719,0.1897805823435832,0.9427177061839116,1.2084216846668108,0.002731499102932225,0.10437382503914606,8.16328388265497e-06,0.24789936338429058,2.246155741534056e-06,0.004854146442107426,,,,,,,,,,,-95.90068709003364,207.80137418006728,234.76647840508852,-95.90068709003478,207.80137418006956,234.76647840509085,-1.1368683772161603e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.2953465121672011,0.8011916713882632,0.0226907623010719,0.35644678692306736,1520.179511391697,133.16975812801755,1520.179511391697,0.48839909945605026,0.5541040418041753,5.57902703692819,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,2,computed,1e-08,False,False
2026-06-01T16:48:33,47,13,470013,constant,-97.33553508060815,210.6710701612163,237.6361743862376,True,0,Optimization terminated successfully,9.91975170367203,3.864533642288632,0.8250769095865219,0.410285627731266,0.1202157557594604,0.5838467065002388,0.0328268126586907,0.0948852678085603,18.360111077163204,5.841163553950683,0.13549050498070814,0.057311247331821934,0.3123389674538058,0.05782445339932408,0.3339805895946491,0.5102475620607654,,,,,,,,,,,-97.3355350806329,210.6710701612658,237.63617438628708,-97.33553508060815,210.6710701612163,237.6361743862376,2.474109805916669e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.9452926653459823,0.9941323342315048,0.0328268126586907,0.04548274433266255,1083.8136074324107,658.6151622742701,1083.8136074324107,0.1414840871296651,0.31785927988687496,6.125047935224075,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,3,computed,1e-08,False,False
2026-06-01T16:30:33,19,2,190002,constant,-108.58517642591659,233.17035285183317,260.1354570768545,True,0,Optimization terminated successfully,7.37910370063436,6.148919945848018,0.8212439009856134,0.7390393427381595,0.079647194315123,0.1486652033662848,0.0283914093953888,0.1051534575316521,1169.5730750928146,528.1485406776746,8.768754975030491,14.7560941659773,1.0546777413670827,0.07547900763952754,2.19369403782733e-05,0.2591014759870264,,,,,,,,,,,-108.5851764259098,233.1703528518196,260.1354570768409,-108.58517642591659,233.17035285183317,260.1354570768545,-6.792788553866558e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.9008910953007364,0.8877045461044444,0.0283914093953888,0.07393823262011459,948.1878403696293,141.4084304587981,948.1878403696293,0.30895006852792156,0.43355645924843134,2.3278961052063725,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,4,computed,1e-08,False,False
2026-06-01T16:32:54,46,3,460003,constant,-109.98532368226333,235.97064736452666,262.935751589548,True,0,Optimization terminated successfully,0.220103345020176,0.6937300163102758,0.6912520448235485,0.2494357702519079,0.1098137874444196,0.7505529585508449,0.0746525503471055,0.2439313741700733,3.9961499690523334,512.8893846741557,86.34709442185559,0.14920175921431766,27.313442978573065,0.14674010025083506,8.065829368355775,0.39956048208901257,,,,,,,,,,,-109.98532368144168,235.9706473628833,262.93575158790463,-109.98532368226333,235.97064736452666,262.935751589548,-8.216431979235495e-10,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.8010658322679681,0.9999887288027528,0.0746525503471055,0.042505317574961114,170.6378340455478,61548.919879184934,61548.919879184934,0.06627700521201753,0.18347045648297972,3662.3217131298143,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,5,computed,1e-08,False,False
2026-06-01T17:01:33,14,20,140020,constant,-117.8539502367286,251.7079004734572,278.6730046984785,True,0,Optimization terminated successfully,4.771564762741882,0.0065319731177458,0.4996184832587941,0.1375867387789351,0.1586507326727363,0.8622841719972032,0.0893985932906078,0.2324850892055808,0.042964623409884266,0.006020170189285104,0.003238675570450978,0.0001835534772774019,0.0007636046057892426,0.00012792023906490067,1.967480386858952e-06,0.0007649637870192288,,,,,,,,,,,-117.85395024223315,251.70790048446636,278.67300470948766,-117.8539502367286,251.7079004734572,278.6730046984785,5.504560363078781e-09,200.0,False,-150.0,False,0.87,True,True,True,True,True,eligible,0.6582692159315304,0.9998709107761383,0.0893985932906078,0.03848791189807774,174.31386389878375,128.65848323484272,174.31386389878375,0.07896783098765423,0.1820077752941206,8.347038417133065,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,6,computed,1e-08,False,False
2026-06-01T17:01:52,16,23,160023,constant,-128.17682324586355,272.3536464917271,299.3187507167484,True,0,Optimization terminated successfully,9.107851419026137,0.9643149958024124,0.2144061783067861,0.5597198305529602,0.5383164083251047,0.0815491384563523,0.13775939362964,0.0074948965763225,900.1936004854792,543.3223722943486,0.027030858083097128,1.7151651625318411,1148.2417201037028,0.022314949952264358,1.7398068573907148,0.0016024387485545806,,,,,,,,,,,-128.17682324583495,272.3536464916699,299.3187507166912,-128.17682324586355,272.3536464917271,299.3187507167484,-2.859223968698643e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.7527225866318908,0.6412689690093124,0.0074948965763225,0.1728997902626529,241.04517590628404,12164.348949654179,12164.348949654179,0.22239301444527518,0.29138908380208267,5.257784858905587,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,7,computed,1e-08,False,False
2026-06-01T17:26:04,34,39,340039,constant,-136.88578002763276,289.7715600552655,316.73666428028685,True,0,Optimization terminated successfully,8.558710466750853,5.33505934009795,0.6047585375150367,0.8678605961898633,0.3385780264231582,0.059455489626101,0.0554015382024672,0.3654820934991251,11.168219920516483,2.656900053653437,0.0033985902281741505,0.07195618239772368,0.07191093236310046,0.09526537347266331,1.8956170297166523e-06,0.06990704783720665,,,,,,,,,,,-136.885780027632,289.771560055264,316.7366642802853,-136.88578002763276,289.7715600552655,316.73666428028685,-7.673861546209082e-13,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.943336563938195,0.9273160858159644,0.0554015382024672,0.738911589169921,953.4248545626452,73.4008260285705,953.4248545626452,5.480264464733853,5.65234264250052,10.26827995955238,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,8,computed,1e-08,False,False
2026-06-01T17:23:56,23,35,230035,constant,-138.45260641354517,292.90521282709034,319.87031705211166,True,0,Optimization terminated successfully,8.100573452345774,0.0435555796267342,0.3184736842114806,0.1566212130463203,0.1805583143330797,0.8386247127914711,0.1060796283071539,0.2261151961486249,1037.847658903477,508.7470480887867,23.539129081632538,31.113960545813416,1.346660165964271,12.483895112727684,2.3355745586986293e-06,1.340908024977461,,,,,,,,,,,-138.45260641148798,292.90521282297595,319.8703170479973,-138.45260641354517,292.90521282709034,319.87031705211166,-2.0571917502820725e-09,200.0,False,-150.0,False,0.87,True,True,True,True,True,eligible,0.49903199854456026,0.9952459258377914,0.1060796283071539,0.09338175532684254,142.53512611200637,132.40542242592136,142.53512611200637,0.1374165652042009,0.22843881607043023,8.3735670305726,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,9,computed,1e-08,False,False
2026-06-01T17:21:03,22,32,220032,constant,-145.30223024248318,306.60446048496635,333.5695647099877,True,0,Optimization terminated successfully,1.1238359759214431,4.489887367919458,0.1483532050057713,0.6420548749362402,0.120070662366668,0.2055983275984606,0.0224321570217852,0.2309965139152283,7721.702130793425,53.809602504438395,20.51450343276175,2.8745391318124693,2.7183981461145916,0.9399927291994479,0.00023448748296612504,0.09788623757241648,,,,,,,,,,,-145.3022302425008,306.6044604850016,333.5695647100229,-145.30223024248318,306.60446048496635,333.5695647099877,1.7621459846850485e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.2684238673724393,0.8476532025347009,0.0224321570217852,0.2401431647493607,1926.1780154519847,45.3497301921455,1926.1780154519847,0.6750411927208112,0.7506885298018531,3.3890899058588717,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,10,computed,1e-08,False,False
