seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p,param_phi_n,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
1,1,10001,"ARX(1,1)",True,0,-172.0365206196773,366.0730412393546,403.1500595487589,-172.0365206196773,366.0730412393546,403.1500595487589,True,eligible,0.9369904956962926,0.0377151950137673,0.6013123589663267,0.2692550339432784,0.1375684339966208,0.7078027506666963,0.235623529830156,0.5561928691022489,0.1100005885951623,0.2657749782647253,0.6943267606765808,,,2.460768175000429,2.9932545868058824,6.339138616253434,0.0702327270630189,0.28577531936657385,2.3058722373334377,0.15952806978951353,0.2540539321983011,1.0716680798716427,-0.629181598840502,-0.015969611583023194,0.0417270906694753,0.0860207402650978,0.21916958701239836,1.475791372161926
1,2,10002,"ARX(1,1)",True,0,-172.03695560796058,366.07391121592116,403.15092952532547,-172.03695560796058,366.07391121592116,403.15092952532547,True,eligible,0.9575136874046428,0.038290704135708,0.5950495217678503,0.267020831444401,0.1414393921720955,0.7096534177814556,0.2346305454043456,0.556831514897013,0.1104154514556813,0.2654254632186249,0.6938117610947129,,,2.4749935663796205,3.0083963433714396,6.457976779955529,0.07071589999750501,0.2836012795703778,2.303027813332335,0.15934113382760018,0.25434887244558013,1.0763200999604656,-0.6300357505868803,-0.016234534097073455,0.04104865175418267,0.08594704900687535,0.2177762941730927,1.4778223031028124
1,3,10003,"ARX(1,1)",True,0,-172.0368265858643,366.0736531717286,403.1506714811329,-172.0368265858643,366.0736531717286,403.1506714811329,True,eligible,0.9492132574385068,0.0376501931519537,0.5977286747527658,0.2692086193717886,0.1395908566444333,0.7077226448750552,0.2350683746959001,0.5566129774635443,0.1110830253974971,0.2668637644185476,0.6917998782265287,,,2.4699280812480167,3.000593697636941,6.395857452222324,0.07021492514523432,0.2858498850947131,2.296584091092366,0.1594287723173821,0.2542336429941723,1.0717015648279278,-0.6279556502351153,-0.016309608750744956,0.04144532425661463,0.08586626039875431,0.21892921414246158,1.4761818283584345
1,4,10004,"ARX(1,1)",True,0,-172.03928344599774,366.0785668919955,403.1555852013998,-172.03928344599774,366.0785668919955,403.1555852013998,True,eligible,0.9809084141783704,0.039098801301985,0.5891771793545071,0.2664575746730431,0.1447205002917855,0.7096958180375901,0.233316659782436,0.5588815591551107,0.1114318849491026,0.2660602947277939,0.6918538270162891,,,2.4987017308899846,3.031084152180074,6.592070087817479,0.07167900883609735,0.28271049383851893,2.2827639471327954,0.15955217774710176,0.2548980885532413,1.078162873468659,-0.6319541929171899,-0.017447470465790246,0.03989066737347899,0.08651258527760185,0.21865964270734442,1.4856399480156193
1,5,10005,"ARX(1,1)",True,0,-172.03682813732058,366.07365627464117,403.1506745840455,-172.03682813732058,366.07365627464117,403.1506745840455,True,eligible,0.9322309879762736,0.0373179792236861,0.6019918443147769,0.2684980676659035,0.136922610825938,0.7088689103370823,0.2361398563376042,0.5536947428841895,0.1102487358538239,0.2662257001564363,0.6935051036854255,,,2.4522911926225954,2.9810757931478014,6.302776735919767,0.06980313982694332,0.2869580160590509,2.324968428056587,0.15932043445291486,0.253874615844381,1.0703304104311961,-0.6250241826620242,-0.014991147646828046,0.04247324890688621,0.08529580024799653,0.21695885289045796,1.4634100143446354
1,6,10006,"ARX(1,1)",True,0,-172.05730533862538,366.11461067725077,403.1916289866551,-172.05730533862538,366.11461067725077,403.1916289866551,True,eligible,1.0618393902389816,0.039446542749489,0.5659918326184655,0.2635948564318116,0.1551482061681195,0.7125456380537517,0.2300093230860493,0.5537566620452158,0.1139581945632839,0.262423941413499,0.6920788358752582,,,2.5551118136667297,3.1035752374230468,6.981778920043624,0.07213804627710983,0.28409435586948717,2.33994786773369,0.15841383394135972,0.25448807609767926,1.0923734360794164,-0.6298668947681784,-0.016826265890121386,0.038759500639006066,0.08363839689203048,0.21364928364274002,1.4458253911846566
1,7,10007,"ARX(1,1)",True,0,-172.03646333659574,366.0729266731915,403.1499449825958,-172.03646333659574,366.0729266731915,403.1499449825958,True,eligible,0.9419848682852452,0.0377763754100371,0.5997762123933744,0.2691027689201736,0.1383397190803532,0.7079419370786375,0.2354153529535156,0.5560247418063793,0.1101330670421942,0.265712714071,0.6941703346561711,,,2.463971474657631,2.9969521327071957,6.357273365483625,0.07031738456111976,0.28582363865940086,2.307605773849291,0.15947806831553693,0.25408648058081396,1.0725060581991896,-0.628979978471353,-0.015989148263042915,0.04161637309839974,0.08591476840080867,0.21885663836580033,1.4748304660375655
1,8,10008,"ARX(1,1)",True,0,-172.0364737434786,366.0729474869572,403.1499657963615,-172.0364737434786,366.0729474869572,403.1499657963615,True,eligible,0.9447585732842146,0.0377610744012111,0.5987393386342047,0.2693168152643616,0.1389099761017169,0.7077246059583846,0.2353583720539291,0.5563256928036874,0.1100762728860032,0.2656682658299691,0.6942541771763322,,,2.46455116331089,2.9968562369025604,6.366750721541206,0.07030307341541324,0.2857139483656983,2.3053589511120633,0.15946861259499293,0.2541277461931038,1.0731230349032386,-0.6293055248926005,-0.016085065026584175,0.041523719471439346,0.08596131676271623,0.21916120862293914,1.476573215876335
1,9,10009,"ARX(1,1)",True,0,-172.03741310915996,366.0748262183199,403.1518445277242,-172.03741310915996,366.0748262183199,403.1518445277242,True,eligible,0.9431378118731008,0.0385482393637616,0.598571121960019,0.271053152801791,0.1387186441443689,0.7053612997671834,0.2360157493838734,0.5614616817791582,0.1105788349225822,0.2646768663774704,0.694708370707073,,,2.4586675140718968,2.987115739739993,6.336628962522554,0.0712355352792656,0.2833554304264103,2.2663172588646683,0.16059960316253874,0.2550064365953447,1.0750113344206453,-0.63760701756136,-0.01735811219947349,0.04083890304363998,0.0884336648199644,0.2249622097333464,1.5030265618403615
1,10,10010,"ARX(1,1)",True,0,-172.03787810768813,366.07575621537626,403.15277452478057,-172.03787810768813,366.07575621537626,403.15277452478057,True,eligible,0.9242572533308298,0.0367925695014391,0.6039313110371642,0.2710783623400699,0.137986661371862,0.7064699890627174,0.2364467932485854,0.5604940422218723,0.1090286719126081,0.266080298310041,0.6954822696059213,,,2.445265671605301,2.977910708309554,6.333438863979762,0.06887150946967661,0.28114224178669794,2.269988555784546,0.15957502630949652,0.2541833038313322,1.0725530755298556,-0.6333837421051375,-0.01648565138017727,0.04190375997124276,0.08686220922485652,0.22347939936624941,1.4978295991293327
