seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p_plus,param_phi_p_minus,param_phi_n_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
1,1,10001,"ARX(1,1)",True,0,-166.93630554265886,359.8726110853177,403.6909054509773,-166.93630554265886,359.8726110853177,403.6909054509773,True,eligible,2.0282589391465797,0.0495374786575379,6.203656418500478e-16,0.5525063621284393,0.0,0.4663015614541213,0.86074083972803,3.878011649937577e-16,0.2540004397056023,0.433556996641985,0.0921806227822281,0.2192949869149023,0.7661696920836183,,,2.028258939146581,2.0282589391465855,4.72327828250159,0.1203746350085558,0.4380209156672195,4.63431049065316,0.15703167045207977,0.2370808370026245,1.1219304086676416,-0.6562076168862383,0.005543402922468375,0.07450891999260746,0.07997050650360833,0.15335461387778582,1.108592513157229
1,2,10002,"ARX(1,1)",True,0,-167.02346327360988,360.04692654721975,403.86522091287935,-167.02346327360988,360.04692654721975,403.86522091287935,True,eligible,2.330479869650575,0.0579095074678136,1.875239732738892e-13,0.5439908497682496,1.212906502277243e-06,0.4477283675624638,0.8725987178461407,2.0266181262492707e-14,0.2329604387053772,0.4306758977409238,0.1015401355538962,0.2165990046751655,0.7578616277919691,,,2.3304799362170403,2.3305170893464657,5.366530611597733,0.13558352276638586,0.44066365007484115,4.785233435877138,0.15509629561710303,0.23303025923432938,1.1085486853403614,-0.6784530939533762,-0.0027564243937271693,0.06124740877220925,0.07262515386613164,0.14297486091662281,1.1095467319395227
1,3,10003,"ARX(1,1)",True,0,-166.93637543387763,359.87275086775526,403.69104523341485,-166.93637543387763,359.87275086775526,403.69104523341485,True,eligible,2.0075934447200288,0.048973527912921,2.3845193271907102e-09,0.5528087661973223,7.636193855399504e-10,0.4665084885200057,0.8604220458285284,0.0,0.2557297828340656,0.4347732196550246,0.0910224348776506,0.2201091275948475,0.7667365526660999,,,2.0075934496581964,2.007593475501982,4.680813980602817,0.11922628586399067,0.43610221680853256,4.59380145428498,0.15738312513360359,0.2374649857948436,1.1222736461981975,-0.6544941203801193,0.005894482703256362,0.07534111679814016,0.08090582791653346,0.15524336540836148,1.1126395817928636
1,4,10004,"ARX(1,1)",True,0,-166.94065225388007,359.88130450776015,403.69959887341975,-166.94065225388007,359.88130450776015,403.69959887341975,True,eligible,2.082938607964353,0.0508450269798076,9.216125053994614e-13,0.553640338952298,3.836947506049642e-13,0.4593871115751346,0.8575552800184928,7.949098205622363e-14,0.2496017662095682,0.4318664632639847,0.0933159959816851,0.2193161060921575,0.7647133644140013,,,2.0829386079663395,2.08293860797987,4.820769837771794,0.12373330644052155,0.44461288853584074,4.675232382971699,0.1564103585561479,0.2357901310685337,1.1187621785469286,-0.6565105689487964,0.00400062434609607,0.07152101238558778,0.07808106014795366,0.15004271630060043,1.0974559064987164
1,5,10005,"ARX(1,1)",True,0,-166.94216714346652,359.88433428693304,403.70262865259264,-166.94216714346652,359.88433428693304,403.70262865259264,True,eligible,2.051979274934921,0.0493821219956692,9.085847110383473e-19,0.5599383238749669,2.2260707836589254e-18,0.4579859778852472,0.8455503403821318,4.498212324712282e-07,0.2525664553813804,0.4316952687775063,0.0938821398839909,0.2232255495037867,0.7602862060008424,,,2.051979274934921,2.051979274934921,4.728253763545899,0.12280648420406959,0.4524568533215499,4.637636800772776,0.15749639313242747,0.23744853788278625,1.1168721983358914,-0.6483743715787357,0.004508525991248902,0.07335896047468607,0.079361782881296,0.1509035711818114,1.0841465530262113
1,6,10006,"ARX(1,1)",True,0,-166.9565588330587,359.9131176661174,403.731412031777,-166.9565588330587,359.9131176661174,403.731412031777,True,eligible,2.160929028788431,0.0538557329193695,0.0,0.5497201527758154,2.069266098842401e-07,0.454312915007259,0.863688003454976,1.632442782893318e-07,0.2441112166374773,0.4307543135089293,0.0972798382795508,0.2179226955513591,0.7615299271808649,,,2.1609290394518075,2.16093476444076,4.960858212453118,0.1289124959466688,0.4438502783305114,4.73998958439451,0.15618006211012744,0.23483302895145555,1.114939973353258,-0.665239917645075,0.0018624690174967526,0.06813886310816193,0.07635700685965718,0.14832126471412196,1.100837082714715
1,7,10007,"ARX(1,1)",True,0,-166.9363898787403,359.8727797574806,403.6910741231402,-166.9363898787403,359.8727797574806,403.6910741231402,True,eligible,2.017710666294949,0.0494112132427382,3.831247361740668e-14,0.5529758712036834,1.2281085430297288e-14,0.4675849284345278,0.8597316808908108,1.3910047492497775e-14,0.2549023211509267,0.4355338987831155,0.091403490914709,0.2190157969860008,0.7674232334989086,,,2.017710666295029,2.017710666295447,4.707810268383406,0.1201930914329767,0.4358088583922314,4.58853047704449,0.1574538908189299,0.23763177035391453,1.1231716861639836,-0.6580737114426986,0.005474924299434435,0.07477945965648812,0.08089544458657216,0.15495680396600295,1.1173736004493762
1,8,10008,"ARX(1,1)",True,0,-166.9362615735388,359.8725231470776,403.69081751273717,-166.9362615735388,359.8725231470776,403.69081751273717,True,eligible,2.0126824098290754,0.049022797584519,6.416698504711332e-10,0.553280460200563,2.345675736546932e-10,0.4665936518608485,0.8594689134257707,4.5838952999825675e-11,0.2552672278984641,0.4338819984925459,0.0913715886730674,0.2197887346545813,0.766547365711395,,,2.0126824111650086,2.0126824191029073,4.6905872038891205,0.11952848747978928,0.4382333004733166,4.618131804955177,0.15721478302506603,0.23734106007811273,1.1224466244064037,-0.654341389225618,0.005986580142770176,0.0752039842675464,0.080502799979889,0.1545571420658654,1.1083712095605944
1,9,10009,"ARX(1,1)",True,0,-166.93720740329883,359.87441480659766,403.69270917225725,-166.93720740329883,359.87441480659766,403.69270917225725,True,eligible,2.0079961401762465,0.0496828606837449,4.034944053939608e-14,0.5499509372336898,8.60424371451831e-15,0.4689569465258729,0.8659426998521174,1.2177242232040402e-14,0.2556909815150406,0.4335441619233123,0.0906519760717473,0.2198587261155343,0.7675897871802695,,,2.007996140176329,2.0079961401766324,4.70065107092327,0.11986517420686414,0.43478733309269463,4.6208514118099515,0.15731628031433154,0.23740982187289245,1.1222823146982954,-0.6523645276548532,0.005746533685867243,0.07554678819929114,0.08072343554648274,0.15536253993121685,1.1102496142322609
1,10,10010,"ARX(1,1)",True,0,-166.93938778156843,359.87877556313686,403.69706992879645,-166.93938778156843,359.87877556313686,403.69706992879645,True,eligible,2.067351854719285,0.0506007187008795,1.6028214873208212e-18,0.5514057567587132,3.95381590123703e-07,0.4663278095605461,0.8622725968545722,5.027039682594633e-19,0.2506124530735275,0.4335629668424385,0.0917939383084077,0.2188291576173522,0.7669755360950514,,,2.06735187227329,2.0673607241088767,4.836244982593903,0.12236560036945189,0.4385598677890301,4.637390627955624,0.1563805700784412,0.23625970908796623,1.1210906991161262,-0.6580191020774825,0.0037327950243208827,0.07230171747238798,0.07868646803787224,0.15152354835505447,1.108679475145832
1,11,10011,"ARX(1,1)",True,0,-166.9465773081192,359.8931546162384,403.711448981898,-166.9465773081192,359.8931546162384,403.711448981898,True,eligible,2.105413943023534,0.0524799345135285,5.8015400179226e-09,0.5466171868372777,1.652594641598996e-09,0.4593376247213006,0.8710213563931535,1.4029141805019778e-10,0.248043950801703,0.4326846372764327,0.0956806058815639,0.2160878449614041,0.7657252077048071,,,2.105413955592903,2.1054140150879834,4.852470143119516,0.12470314839299194,0.4335420402328234,4.704538880314855,0.15632045401964925,0.2355994332351468,1.1188228242334404,-0.6671186759986948,0.0031669961703446256,0.07072822839029312,0.07778582121739966,0.15073383051966244,1.1168702225218599
1,12,10012,"ARX(1,1)",True,0,-166.9387815804274,359.8775631608548,403.6958575265144,-166.9387815804274,359.8775631608548,403.6958575265144,True,eligible,2.061858525121129,0.0498808319175672,7.66341982477593e-08,0.5551100797570967,6.11528208338245e-08,0.46635441754626,0.8551496352634613,9.689811882942698e-12,0.251208358928834,0.4342034129315826,0.0924202630268473,0.2192014178865253,0.7660061826123401,,,2.0618586917104116,2.0618607992712783,4.815223206687511,0.12203259414859348,0.44186190628274025,4.618325921404874,0.156703725708743,0.23697898722825522,1.12167372809322,-0.6581656956852586,0.004375374019608934,0.07271524264187677,0.07907758133865758,0.15162021463605202,1.1066205746835645
1,13,10013,"ARX(1,1)",True,0,-166.9644336123689,359.9288672247378,403.7471615903974,-166.9644336123689,359.9288672247378,403.7471615903974,True,eligible,2.188427434686267,0.0544628255330017,6.214544107260312e-17,0.5490255957926877,4.2229717891247364e-13,0.4507594727018967,0.8645750288866104,1.4687495014688518e-13,0.2420532071827252,0.4302666667481242,0.0979257836651069,0.2175798664856441,0.7607629508274902,,,2.188427434686289,2.1884274347017736,5.013301474568672,0.13000878292606294,0.444563982114076,4.762221949634496,0.15577847852497578,0.2343497292707642,1.1134903450154654,-0.6675904176299159,0.0010477489651839894,0.06674060407084459,0.07546764523781456,0.14744959887406825,1.1002467744734357
1,14,10014,"ARX(1,1)",True,0,-167.00575636353858,360.01151272707716,403.82980709273676,-167.00575636353858,360.01151272707716,403.82980709273676,True,eligible,1.7990779462328643,0.0424441450832821,1.0542817713610311e-14,0.5505869007040541,5.697611833728856e-15,0.4957739745205611,0.8690687484245405,2.019318814669618e-15,0.2751145762357034,0.4415602357170118,0.0825502948545899,0.2226819030421988,0.7742559140786845,,,1.7990779462328839,1.799077946233004,4.333316765293859,0.10404048266386517,0.4134230736905271,4.387916598180087,0.16000850660120336,0.24296775068915638,1.1353902236545492,-0.6417826327933062,0.014700951218500583,0.09815500194676159,0.08960561342496902,0.17552244019496888,1.1559973368151886
1,15,10015,"ARX(1,1)",True,0,-167.05135536364372,360.10271072728744,403.92100509294704,-167.05135536364372,360.10271072728744,403.92100509294704,True,eligible,2.395937586883616,0.0578439483969039,7.886978091543636e-12,0.5507647077524614,7.322844179272143e-14,0.4304562085450076,0.8593535386901625,2.8374601430508565e-11,0.2292521180864692,0.4239176673508237,0.1041206318324553,0.2159242196153996,0.7557484177414001,,,2.395937586902542,2.395937587448775,5.414808568930451,0.13819584030729354,0.46058879465083136,4.948783460788114,0.15425732794503344,0.23151770987665754,1.105390909611955,-0.6707932945659657,-0.0026438565211449466,0.05920819540439991,0.06975570237459196,0.13678062326752188,1.0679376879528024
1,16,10016,"ARX(1,1)",True,0,-167.09043058401028,360.18086116802056,403.99915553368015,-167.09043058401028,360.18086116802056,403.99915553368015,True,eligible,0.422871124537264,0.0397376421499916,0.8364133233747136,0.4271470587416052,0.0978049150678233,4.990400096746842e-14,1.0257098332297898,0.0734180728135548,0.2198170925063582,0.5671463308651254,0.0886606863378846,0.2189577195453099,0.7768290296220561,,,2.682427311190171,3.2930033518938426,6.7983283464863105,0.08002268291264703,0.2587803988150258,2.5450165965032694,0.15768181781234658,0.23934046908006035,1.100198327825238,-0.8134304925238965,-0.02307415692024245,0.03269027191826991,0.08856632241841672,0.20481465633686716,1.6577778129603102
1,17,10017,"ARX(1,1)",True,0,-167.09043728174944,360.1808745634989,403.9991689291585,-167.09043728174944,360.1808745634989,403.9991689291585,True,eligible,0.4231300897326746,0.0397146316147535,0.8363684707568697,0.4270529756154238,0.0977851322247482,2.080730797288603e-15,1.025983529302662,0.0733032130633474,0.2197855816379433,0.5674701669573858,0.0887449695628995,0.2188665858134662,0.7768301810862775,,,2.68322957295904,3.293783144752552,6.7999617027832375,0.07994305167539134,0.25851548409386116,2.540278903456818,0.1576838329753743,0.23935721530694087,1.1006169879987113,-0.8133199119522683,-0.023061517973923133,0.03265879705360366,0.08862112149112318,0.20493665001000785,1.660357434846061
1,18,10018,"ARX(1,1)",True,0,-167.24862887031776,360.4972577406355,404.3155521062951,-167.24862887031776,360.4972577406355,404.3155521062951,True,eligible,0.615018276383732,0.0413538634703864,0.7827678448899064,0.373033389730031,0.1273953160697308,1.1306812688887696e-05,1.1198842258982349,0.0844893517226091,0.2123769307937198,0.5803634984996388,0.1044565958457281,0.2176953976829451,0.761886230142126,,,2.900774872392775,3.4358522070027706,7.822323659557774,0.07527224918969061,0.2248416771927308,2.5445975649513666,0.15763483851308313,0.23386533591916164,1.1739175228045777,-0.8582659218974045,-0.02243915221623058,0.029892826752131615,0.08709049305017251,0.1954203093266581,1.8053533896276928
1,19,10019,"ARX(1,1)",True,0,-166.93637436558328,359.87274873116655,403.69104309682615,-166.93637436558328,359.87274873116655,403.69104309682615,True,eligible,2.0157480548021955,0.0493365846963344,7.210174772974545e-16,0.5517834862242779,6.887597651558472e-15,0.4671883079890625,0.8623956024318686,4.678236039517738e-16,0.2550771376106162,0.4334865069429287,0.0921777769223279,0.2195800397616537,0.7659167306981023,,,2.0157480548021973,2.01574805480237,4.69453634020647,0.11968283739951706,0.43656006343949044,4.634457283717647,0.15718143427023812,0.2372954318513274,1.1220393442739478,-0.6554047958244169,0.005981301048543754,0.075264181825042,0.08035451163710737,0.15442627977200596,1.109550589256166
