seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_recursion_init_p,selection_recursion_init_n,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,0,-166.93630554265886,359.8726110853177,403.6909054509773,-166.93630554046115,359.8726110809223,403.6909054465819,-166.93630554265886,359.8726110853177,403.6909054509773,-2.19770868170599e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,62.99654237669764,62.99654237669764,10.083747821458797,0.2540004397056023,0.23315078072706127,0.9828767819924544,0.1524475452080465,0.2370808370026245,4.287227181920963,2.028258939146581,2.0282589391465855,4.72327828250159,0.1203746350085558,0.4380209156672195,4.63431049065316,0.15703167045207977,1.1219304086676416,-0.6562076168862383,0.005543402922468375,0.07450891999260746,0.07997050650360833,0.15335461387778582,1.108592513157229,9.389299625914134e-08,1.3971806991155585e-06,93892.99625914134,1397180.6991155585
1,2,"ARX(1,1)",True,0,-167.02346327360988,360.04692654721975,403.86522091287935,-167.02346325234146,360.0469265046829,403.8652208703425,-167.02346327360988,360.04692654721975,403.86522091287935,-2.1268419914122205e-08,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,72.01235138705049,72.01235138705049,10.381205393360023,0.2329604387053772,0.22386479023467057,0.9802902086913301,0.15065118055572085,0.23303025923432938,4.128447636437287,2.3304799362170403,2.3305170893464657,5.366530611597733,0.13558352276638586,0.44066365007484115,4.785233435877138,0.15509629561710303,1.1085486853403614,-0.6784530939533762,-0.0027564243937271693,0.06124740877220925,0.07262515386613164,0.14297486091662281,1.1095467319395227,9.438425159928169e-08,1.3968928654518057e-06,94384.25159928169,1396892.8654518055
1,3,"ARX(1,1)",True,0,-166.93637543387763,359.87275086775526,403.69104523341485,-166.93637543415764,359.8727508683153,403.6910452339749,-166.93637543387763,359.87275086775526,403.69104523341485,2.800106813083403e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,62.17222746769469,62.17222746769469,10.02943449020396,0.2557297828340656,0.23325424702633188,0.9830197891115866,0.15279542449026276,0.2374649857948436,4.288971065526799,2.0075934496581964,2.007593475501982,4.680813980602817,0.11922628586399067,0.43610221680853256,4.59380145428498,0.15738312513360359,1.1222736461981975,-0.6544941203801193,0.005894482703256362,0.07534111679814016,0.08090582791653346,0.15524336540836148,1.1126395817928636,9.383768173368635e-08,1.3973599597927882e-06,93837.68173368636,1397359.9597927881
1,4,"ARX(1,1)",True,0,-166.94065225388007,359.88130450776015,403.69959887341975,-166.9406522535537,359.8813045071074,403.699598872767,-166.94065225388007,359.88130450776015,403.69959887341975,-3.263664893893292e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,64.29138837235354,64.29138837235354,10.124974213386787,0.2496017662095682,0.22969355578868078,0.9824179789615841,0.15178564957529067,0.2357901310685337,4.228867977135299,2.0829386079663395,2.08293860797987,4.820769837771794,0.12373330644052155,0.44461288853584074,4.675232382971699,0.1564103585561479,1.1187621785469286,-0.6565105689487964,0.00400062434609607,0.07152101238558778,0.07808106014795366,0.15004271630060043,1.0974559064987164,9.393904986750582e-08,1.3972282469352702e-06,93939.04986750583,1397228.2469352703
1,5,"ARX(1,1)",True,0,-166.94216714346652,359.88433428693304,403.70262865259264,-166.94216686835668,359.88433373671336,403.70262810237296,-166.94216714346652,359.88433428693304,403.70262865259264,-2.7510984068612743e-07,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,62.63727300869392,62.63727300869392,10.000749733044485,0.2525664553813804,0.2289929889426236,0.982713718976649,0.15259372386689457,0.23744853788278625,4.220625134097404,2.051979274934921,2.051979274934921,4.728253763545899,0.12280648420406959,0.4524568533215499,4.637636800772776,0.15749639313242747,1.1168721983358914,-0.6483743715787357,0.004508525991248902,0.07335896047468607,0.079361782881296,0.1509035711818114,1.0841465530262113,9.39991250386792e-08,1.3984194039258462e-06,93999.1250386792,1398419.403925846
1,6,"ARX(1,1)",True,0,-166.9565588330587,359.9131176661174,403.731412031777,-166.95655883360203,359.91311766720406,403.73141203286366,-166.9565588330587,359.9131176661174,403.731412031777,5.433378191810334e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,66.51732486018118,66.51732486018118,10.232208701173617,0.2441112166374773,0.22715656096693446,0.9815642361254426,0.1516611750102609,0.23483302895145555,4.185911649098852,2.1609290394518075,2.16093476444076,4.960858212453118,0.1289124959466688,0.4438502783305114,4.73998958439451,0.15618006211012744,1.114939973353258,-0.665239917645075,0.0018624690174967526,0.06813886310816193,0.07635700685965718,0.14832126471412196,1.100837082714715,9.415567442462171e-08,1.397046220617903e-06,94155.67442462171,1397046.2206179032
1,7,"ARX(1,1)",True,0,-166.9363898787403,359.8727797574806,403.6910741231402,-166.93638987909898,359.872779758198,403.6910741238576,-166.9363898787403,359.8727797574806,403.6910741231402,3.5868197301169857e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,62.71564033789878,62.71564033789878,9.984207929761338,0.2549023211509267,0.23379246421730834,0.9828417116490957,0.15286400147577212,0.23763177035391453,4.298342549204488,2.017710666295029,2.017710666295447,4.707810268383406,0.1201930914329767,0.4358088583922314,4.58853047704449,0.1574538908189299,1.1231716861639836,-0.6580737114426986,0.005474924299434435,0.07477945965648812,0.08089544458657216,0.15495680396600295,1.1173736004493762,9.385991347430026e-08,1.3970705921130634e-06,93859.91347430027,1397070.5921130634
1,8,"ARX(1,1)",True,0,-166.9362615735388,359.8725231470776,403.69081751273717,-166.93626157390122,359.87252314780244,403.6908175134621,-166.9362615735388,359.8725231470776,403.69081751273717,3.624336386565119e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,62.407411557631356,62.407411557631356,10.058306497336503,0.2552672278984641,0.2332968266893779,0.9830149169363678,0.15260785653755035,0.23734106007811273,4.289754326731747,2.0126824111650086,2.0126824191029073,4.6905872038891205,0.11952848747978928,0.4382333004733166,4.618131804955177,0.15721478302506603,1.1224466244064037,-0.654341389225618,0.005986580142770176,0.0752039842675464,0.080502799979889,0.1545571420658654,1.1083712095605944,9.38419169005266e-08,1.3972684566314375e-06,93841.9169005266,1397268.4566314374
1,9,"ARX(1,1)",True,0,-166.93720740329883,359.87441480659766,403.69270917225725,-166.93720740656568,359.8744148131313,403.69270917879095,-166.93720740329883,359.87441480659766,403.69270917225725,3.2668481253494974e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,62.50599853497338,62.50599853497338,10.148479779023804,0.2556909815150406,0.2344784732629811,0.9829222871597546,0.15282411276665298,0.23740982187289245,4.308505537381427,2.007996140176329,2.0079961401766324,4.70065107092327,0.11986517420686414,0.43478733309269463,4.6208514118099515,0.15731628031433154,1.1222823146982954,-0.6523645276548532,0.005746533685867243,0.07554678819929114,0.08072343554648274,0.15536253993121685,1.1102496142322609,9.383975730846176e-08,1.3972968559880843e-06,93839.75730846175,1397296.8559880843
1,10,"ARX(1,1)",True,0,-166.93938778156843,359.87877556313686,403.69706992879645,-166.9393877926513,359.8787755853026,403.6970699509622,-166.93938778156843,359.87877556313686,403.69706992879645,1.108287506212946e-08,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,64.69232823010174,64.69232823010174,10.103641933276025,0.2506124530735275,0.2331641024710681,0.9825420551859994,0.15183331705087127,0.23625970908796623,4.285987859114129,2.06735187227329,2.0673607241088767,4.836244982593903,0.12236560036945189,0.4385598677890301,4.637390627955624,0.1563805700784412,1.1210906991161262,-0.6580191020774825,0.0037327950243208827,0.07230171747238798,0.07868646803787224,0.15152354835505447,1.108679475145832,9.385675224082847e-08,1.397007145295833e-06,93856.75224082847,1397007.145295833
