seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_recursion_init_p,selection_recursion_init_n,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,0,-168.01875056019676,356.03750112039353,389.74388140167014,-168.01875055719995,356.0375011143999,389.7438813956765,-168.01875056019676,356.03750112039353,389.74388140167014,-2.996813464051229e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.22605436312411,2.698599297010741,10.22605436312411,0.2342064430079837,0.0,0.9829603115545172,0.17041030865556206,0.23210926604425525,2.1607817762251456,2.698599297010741,2.698599297010741,2.698599297010741,0.12637991886017408,0.4271986130179191,4.647919105405275,0.17290023585067696,1.0628580590078036,-0.742396102477724,-0.005270870251698964,0.04726543254041848,0.07809369860565728,0.14801706423184513,1.129096325351117,9.593578481821888e-08,1.391760606548117e-06,95935.78481821888,1391760.606548117
1,2,"ARX(1,1)",True,0,-168.01906220274162,356.03812440548325,389.74450468675985,-168.01906220255842,356.03812440511683,389.74450468639344,-168.01906220274162,356.03812440548325,389.74450468675985,-1.8320633898838423e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.175422199542293,2.706861215071767,10.175422199542293,0.2337429570014454,0.0,0.9827937601050454,0.17043170833805685,0.23220871938556548,2.1593787200734345,2.706861215071767,2.706861215071767,2.706861215071767,0.12669648896710486,0.426532079201342,4.6275435500023105,0.17293693075063996,1.0626687183326151,-0.7443070694025962,-0.005839989475805746,0.04686605865507132,0.07818707106128737,0.1484884970909075,1.1334852979489283,9.587955573760231e-08,1.3915787778884371e-06,95879.5557376023,1391578.7778884373
1,3,"ARX(1,1)",True,0,-168.01977267637773,356.03954535275545,389.74592563403206,-168.01977267587904,356.0395453517581,389.7459256330347,-168.01977267637773,356.03954535275545,389.74592563403206,-4.986873136658687e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.018494729428841,2.624999818887636,10.018494729428841,0.2383646338154139,0.0,0.9833043240614787,0.17126801503068972,0.2332200714191,2.140402748006454,2.624999818887636,2.624999818887636,2.624999818887636,0.12459130683718332,0.4229948433140295,4.577351246285755,0.17390997166863517,1.058931775671485,-0.7401037357498914,-0.0038614104904179936,0.049022187412787306,0.0803766424783295,0.15110679482053616,1.1358077964750903,9.574497016868705e-08,1.3918435705519148e-06,95744.97016868705,1391843.5705519149
1,4,"ARX(1,1)",True,0,-168.01784959665775,356.0356991933155,389.7420794745921,-168.01784959659648,356.0356991931929,389.7420794744696,-168.01784959665775,356.0356991933155,389.7420794745921,-6.127720553195104e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.168684797637562,2.6422888420535693,10.168684797637562,0.2374167974846434,0.0,0.9832431246570441,0.17103035331881436,0.23290403245765445,2.155964261495188,2.6422888420535693,2.6422888420535693,2.6422888420535693,0.12480865723274248,0.4254214103684319,4.627775275439459,0.17357109574857582,1.0623365608669402,-0.7408663170197531,-0.0038870322721394762,0.04883231952576214,0.07954306792529138,0.14980749965952006,1.1320546039334856,9.584679152025443e-08,1.3917408722862734e-06,95846.79152025444,1391740.8722862734
1,5,"ARX(1,1)",True,0,-168.01948455724477,356.03896911448953,389.74534939576614,-168.01948455720014,356.0389691144003,389.7453493956769,-168.01948455724477,356.03896911448953,389.74534939576614,-4.462208380573429e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.12277051858303,2.6178099934188275,10.12277051858303,0.2388722797548505,0.0,0.9833971269115527,0.17131037193321183,0.23322893479687123,2.153554689054528,2.6178099934188275,2.6178099934188275,2.6178099934188275,0.12377682198092016,0.4235457494831272,4.609119346427647,0.17387841911002774,1.0619203988982153,-0.7407294103512447,-0.0032637500152495613,0.049553214003734386,0.08025063658117106,0.15075461592909703,1.1351781747585155,9.585265380375798e-08,1.391924006098439e-06,95852.65380375799,1391924.006098439
1,6,"ARX(1,1)",True,0,-168.01852263791852,356.03704527583704,389.74342555711365,-168.0185226375293,356.0370452750586,389.7434255563352,-168.01852263791852,356.03704527583704,389.74342555711365,-3.892353106493829e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.24736955610618,2.674801929849969,10.24736955610618,0.2355797686688301,0.0,0.982927772074871,0.1707667520699757,0.23296150948885547,2.1660948693052364,2.674801929849969,2.674801929849969,2.674801929849969,0.12565889649425754,0.4292444826901198,4.640466380027713,0.17318722266257858,1.0621273099302277,-0.7409102391573805,-0.005062424831978413,0.047984599406795045,0.07865928276451845,0.14927459906517196,1.1288229696550585,9.592791119889402e-08,1.3917709345373265e-06,95927.91119889401,1391770.9345373267
1,7,"ARX(1,1)",True,0,-168.01766455471096,356.0353291094219,389.74170939069853,-168.01766455491804,356.0353291098361,389.7417093911127,-168.01766455471096,356.0353291094219,389.74170939069853,2.070805749099236e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.13313843553205,2.676838881349205,10.13313843553205,0.2354137406318972,0.0,0.9829716412672668,0.17079505618405,0.23260835222663306,2.1545433466219075,2.676838881349205,2.676838881349205,2.676838881349205,0.12623735107987144,0.42558569661482076,4.6146658561815945,0.17334232748576528,1.0619769860658905,-0.7431962864133692,-0.005135604437723804,0.04760562648602496,0.07901791606649057,0.14942007611133512,1.1346277655257087,9.586324168646122e-08,1.3917207284794913e-06,95863.24168646122,1391720.7284794913
1,8,"ARX(1,1)",True,0,-168.0229826852169,356.0459653704338,389.7523456517104,-168.0229826849416,356.0459653698832,389.7523456511598,-168.0229826852169,356.0459653704338,389.7523456517104,-2.752926775428932e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.116678502254759,2.5877551254263707,10.116678502254759,0.2406312855446171,0.0,0.9836243283416459,0.17153282388538837,0.23345272624817226,2.1530268737772507,2.5877551254263707,2.5877551254263707,2.5877551254263707,0.12243348299228979,0.42226935191952614,4.604644328242666,0.17408271477359594,1.0615979752595388,-0.7393183304880862,-0.0023000091937364214,0.050537082179371084,0.08085916657544794,0.1513937215325144,1.1352718635106336,9.577669137336602e-08,1.3919021401436546e-06,95776.69137336603,1391902.1401436545
1,9,"ARX(1,1)",True,0,-168.0212135091791,356.0424270183582,389.7488072996348,-168.0212135083503,356.0424270167006,389.7488072979772,-168.0212135091791,356.0424270183582,389.7488072996348,-8.288054687000113e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.141075039079066,2.716051525723788,10.141075039079066,0.2332406391746266,0.0,0.9828036815209092,0.17032597322465148,0.23269225900968388,2.164053685305182,2.716051525723788,2.716051525723788,2.716051525723788,0.12567072259194034,0.4271892012167365,4.59710296332398,0.17274290726196076,1.061774536229958,-0.7461915940974261,-0.006819753243966123,0.046642808648318955,0.07803632919284549,0.14955283706388273,1.138605553664995,9.578410668079673e-08,1.3912811644173331e-06,95784.10668079673,1391281.164417333
1,10,"ARX(1,1)",True,0,-168.02554352237763,356.05108704475526,389.7574673260319,-168.02554352182125,356.0510870436425,389.7574673249191,-168.02554352237763,356.05108704475526,389.7574673260319,-5.563833838095888e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,10.173139798769656,2.7290676291698195,10.173139798769656,0.2328601770778594,0.0,0.9822526586140021,0.17068870563439914,0.2321865308685983,2.1417162411440347,2.7290676291698195,2.7290676291698195,2.7290676291698195,0.12919467689214648,0.4296652066194064,4.6543318985673325,0.1733002066779811,1.060138252607045,-0.7387008000380533,-0.005637815419296033,0.046499746990457946,0.07791736377384613,0.14716074374518734,1.1207344292189403,9.60415607101654e-08,1.3910745844735967e-06,96041.56071016542,1391074.584473597
