seed,draw,random_state,mean_type,success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_n,param_phi_n_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
1,1,10001,"ARX(1,1)",True,0,-168.14409927148282,356.28819854296563,389.99457882424224,-168.14409927148282,356.28819854296563,389.99457882424224,True,eligible,2.3471184487765093,0.0484453784556343,0.5574300579265481,0.8145248113765213,0.0377505378990941,0.2541955952910052,0.4385646461913662,0.1060184872477295,0.2112405016890313,0.7618505118278204,,,2.3471184487765093,2.3471184487765093,2.3471184487765093,0.13278590107468036,0.4332776643364307,4.440389192820151,0.17719989961670266,0.23499616951225738,1.005719788981643,-0.6720182518161146,0.00400601115172608,0.05470081246757542,0.08827133545565465,0.1549701782641359,1.044411203379946
1,2,10002,"ARX(1,1)",True,0,-168.0915472838004,356.1830945676008,389.8894748488774,-168.0915472838004,356.1830945676008,389.8894748488774,True,eligible,2.9952581186805154,0.0533785798603415,0.5349266584308806,0.8593412311661838,0.0334509769875896,0.2197826504027155,0.4484808858100072,0.1215824348333194,0.1892090439307106,0.7651213935985745,,,2.9952581186805154,2.9952581186805154,2.9952581186805154,0.13341260896527088,0.42635673348893643,4.5832807066950565,0.1715181455626303,0.2304394927893545,1.066542832355002,-0.7632738162641473,-0.013321083549932555,0.03952911244478799,0.07431681562817015,0.14542372377300447,1.154442121422923
1,3,10003,"ARX(1,1)",True,0,-168.0179600562305,356.035920112461,389.7423003937376,-168.0179600562305,356.035920112461,389.7423003937376,True,eligible,2.645520795592516,0.0493400731928519,0.5302170317954954,0.8694250707433919,0.0366053123240655,0.237244072331129,0.4445653935609246,0.1202381870225234,0.1927199398068266,0.7629600545760059,,,2.645520795592516,2.645520795592516,2.645520795592516,0.12426524018169838,0.4251716879347717,4.628334626443379,0.1734620581165481,0.23293272373590987,1.063639076246053,-0.7426680135138312,-0.004061420439366387,0.04881577929343704,0.07940912898826358,0.14993124831710375,1.1350080405276317
1,4,10004,"ARX(1,1)",True,0,-168.01860729277513,356.03721458555026,389.74359486682687,-168.01860729277513,356.03721458555026,389.74359486682687,True,eligible,2.634977238468837,0.0490996463030527,0.5307692849713794,0.8685080209794629,0.0366478291324964,0.2379312953303462,0.442241486682785,0.1204710785960987,0.1928247492206869,0.7632006661912695,,,2.634977238468837,2.634977238468837,2.634977238468837,0.12420107625626392,0.42760931905536226,4.66774775335664,0.17346043039264994,0.23280026587262637,1.062076078495705,-0.7364661533501101,-0.002985816861099097,0.049499257263254194,0.07917264646818188,0.14880587809641244,1.12193218148088
1,5,10005,"ARX(1,1)",True,0,-168.13321988811884,356.2664397762377,389.9728200575143,-168.13321988811884,356.2664397762377,389.9728200575143,True,eligible,2.967372947768335,0.0559537195161182,0.511163901613423,0.9090789359553252,0.0328622226653024,0.2208198817646552,0.4179108183240919,0.125913207025953,0.1907110094941528,0.7597307834465663,,,2.967372947768335,2.967372947768335,2.967372947768335,0.13280746347391187,0.4818749550127506,5.386166211905441,0.16788806987131483,0.22885251600482945,1.085384296824169,-0.7223475492931763,-0.006439754407571607,0.044515648737092635,0.06663841342684773,0.13052285610550965,1.0280796933212257
1,6,10006,"ARX(1,1)",True,0,-168.14503561849693,356.29007123699387,389.9964515182705,-168.14503561849693,356.29007123699387,389.9964515182705,True,eligible,3.0573277195222994,0.0566463661185749,0.500263603939602,0.922197136556426,0.0383355197195104,0.2184377457686519,0.459961298392654,0.1248791241582798,0.1889084115335445,0.7638625130097896,,,3.0573277195222994,3.0573277195222994,3.0573277195222994,0.1290510999666745,0.4145926820494548,4.445397128478622,0.17318315928276637,0.23359359163443555,1.086368299814148,-0.801444307921543,-0.016957583900027523,0.038615337901843134,0.07642175419824748,0.15310593400063305,1.2356065304588388
1,7,10007,"ARX(1,1)",True,0,-168.01801600373625,356.0360320074725,389.7424122887491,-168.01801600373625,356.0360320074725,389.7424122887491,True,eligible,2.658447199163895,0.0495514944973746,0.5294397726956599,0.8715113685026087,0.0360220019666368,0.2364605045694519,0.4431603557042054,0.1193234756730641,0.1914930861106202,0.7654132921934972,,,2.658447199163895,2.658447199163895,2.658447199163895,0.12441457543099335,0.42802472206671716,4.663414149802768,0.17307718958281107,0.2327035205152587,1.0644963128325131,-0.7414429895780361,-0.004207810147017807,0.048640241903702496,0.07865867818485749,0.14891916282007223,1.1290593758829826
1,8,10008,"ARX(1,1)",True,0,-168.0352898450551,356.0705796901102,389.7769599713868,-168.0352898450551,356.0705796901102,389.7769599713868,True,eligible,2.5308237575557637,0.046835973991695,0.5336643231371117,0.864295325494386,0.0365196816902964,0.2441257442766685,0.4436274384746106,0.1188613869778273,0.1932853096331201,0.7635873824439599,,,2.5308237575557637,2.5308237575557637,2.5308237575557637,0.12041493306590906,0.4227206296734919,4.637094588061865,0.17452876023677352,0.23402412480921025,1.0634352735656123,-0.7360698712237878,-0.00017078449361325465,0.05261676787915315,0.0819183054414621,0.15217232536888625,1.131567405834623
1,9,10009,"ARX(1,1)",True,0,-168.01748921538137,356.03497843076275,389.74135871203936,-168.01748921538137,356.03497843076275,389.74135871203936,True,eligible,2.657156357410323,0.0493990742032569,0.5325171722415623,0.8652163290072306,0.0360342417304032,0.2365507406134168,0.4444892597065965,0.1195406507342324,0.192460076989816,0.7640749490081117,,,2.657156357410323,2.657156357410323,2.657156357410323,0.12525037256951,0.42539798009191315,4.625293535895601,0.17343031712322216,0.23273069064339846,1.0625070039071902,-0.7420257015153328,-0.0043723831059486185,0.04834437514666703,0.07925324453298913,0.14954934308249934,1.1331862753422026
1,10,10010,"ARX(1,1)",True,0,-168.01784758131149,356.03569516262297,389.7420754438996,-168.01784758131149,356.03569516262297,389.7420754438996,True,eligible,2.644641317948357,0.0492318707283355,0.5327402931632252,0.8646319248760764,0.0362186549214211,0.2373397403025527,0.4453960488157331,0.1200147476273398,0.1928711102318772,0.7631232604310838,,,2.644641317948357,2.644641317948357,2.644641317948357,0.12494043181074034,0.4239218250288976,4.604902806176487,0.17375843633076105,0.23306965961118487,1.0624828007932106,-0.743032819452681,-0.004198147616039927,0.04863582138301708,0.07985124777743019,0.15044737088372895,1.1376695015760538
