timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,message,param_p0,param_n0,param_rho,param_phi_plus,param_phi_minus,param_sigma_p,param_sigma_n,se_p0,se_n0,se_rho,se_phi_plus,se_phi_minus,se_sigma_p,se_sigma_n,param_c,param_rho_1,param_phi_1,se_c,se_rho_1,se_phi_1,param_rho_2,se_rho_2,param_phi_2,se_phi_2,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_eligible,selection_reason,selection_persistence_p,selection_persistence_n,selection_sigma_min,selection_uncond_var_ref,selection_max_p_t,selection_max_n_t,selection_shape_max,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max,rank,se_message,se_hessian_ridge,se_used_pseudoinverse,se_used_opg_fallback
2026-06-01T17:24:24,28,30,280030,constant,-62.49351576230181,138.98703152460362,162.58149772149727,True,0,Optimization terminated successfully,0.2563160434969621,5.53009370835389,0.7858448906725901,0.2337769744312643,1.279531444070201e-09,0.0095368291825976,0.0811057653523613,351.63731767326186,3.6081721338885644,0.4315627473757273,2.9103823038448042,0.0007227254548511638,2.9224227239168004e-05,0.26878783167341225,,,,,,,,,,,-62.49351576238716,138.98703152477432,162.58149772166797,-62.49351576230181,138.98703152460362,162.58149772149727,8.535039341950323e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.902733378527988,0.902733378527988,0.0095368291825976,0.03640107146490201,11244.168350768281,181.2710304009059,11244.168350768281,0.17987423853925982,0.3252132250692893,2.215096755884816,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,1,computed,1e-08,False,False
2026-06-01T17:22:30,28,29,280029,constant,-86.29775282133745,186.5955056426749,210.18997183956856,True,0,Optimization terminated successfully,9.39071857946533,9.999999999732488,0.5422171401778944,0.4945897029109238,0.0818587574534255,0.1108426736307152,0.0125378361029791,1.8110942027088983,3.8152537673826536,0.9102017828304513,2.2088610449240518,2.7796466975281002,0.5539924934276167,0.00028177328061313286,,,,,,,,,,,-86.29775282133195,186.5955056426639,210.18997183955756,-86.29775282133745,186.5955056426749,210.18997183956856,-5.4996007747831754e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.830441370360069,0.830441370360069,0.0125378361029791,0.11694726489386859,148.93183013389424,10058.65901954146,10058.65901954146,0.26034224642360804,0.38062481222124916,3.41098548761442,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,2,computed,1e-08,False,False
2026-06-01T17:13:39,35,28,350028,constant,-106.1889635759158,226.3779271518316,249.97239334872523,True,0,Optimization terminated successfully,0.0021947968453472,9.9978762157373,0.7322986277818946,0.1720292223839103,0.1256573507200343,0.0309053415542154,0.0567369898700331,20.99765804460494,14.874775710147437,0.15917881705308948,0.13490553249041648,0.7256200476634432,0.0014667939475842431,0.028746741789343163,,,,,,,,,,,-106.18896357591096,226.3779271518219,249.9723933487155,-106.1889635759158,226.3779271518316,249.97239334872523,-4.845901457883883e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.8811419143338669,0.8811419143338669,0.0309053415542154,0.03218611988945251,1182.9725377048446,388.34635544982075,1182.9725377048446,0.13201576814018356,0.2605530673142936,2.380024874794053,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,3,computed,1e-08,False,False
2026-06-01T16:32:57,1,3,10003,constant,-106.82294214213388,227.64588428426777,251.24035048116139,True,0,Optimization terminated successfully,9.883001885382368,0.0323331341775462,0.6322561113100723,0.7185742429492565,0.0131158043357404,0.1035073099690902,0.0233677223114424,23.446918174278746,13.789638376528337,0.00046809674459047726,0.07197713893410404,0.07152421978005047,0.19443504613845256,0.00044827227021836585,,,,,,,,,,,-106.82294214213428,227.64588428426853,251.24035048116215,-106.82294214213388,227.64588428426777,251.24035048116139,3.979039320256561e-13,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.9981011349525708,0.9981011349525708,0.0233677223114424,0.10590179759585913,5204.688926557781,4600.1385738511235,5204.688926557781,0.29522759190241343,0.5243162502716896,55.77110271171483,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,4,computed,1e-08,False,False
2026-06-01T16:47:16,21,11,210011,constant,-112.50092117166011,239.00184234332022,262.59630854021384,True,0,Optimization terminated successfully,1.9377341677548372,1.535849383728506,0.8806270245484619,0.1125562863226219,0.1150006051924922,0.0851293518492235,0.0266990380887879,0.6587469469093147,0.05848325953195731,5.579986164962489e-05,3.487857185728332e-05,4.010645091760963e-05,0.1190411415500247,5.976061291850018e-05,,,,,,,,,,,-112.50092117166092,239.00184234332187,262.5963085402155,-112.50092117166011,239.00184234332022,262.59630854021384,8.100187187665142e-13,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.9944054703060189,0.9944054703060189,0.0266990380887879,0.015137584976705866,346.3622992008718,1588.3368195962512,1588.3368195962512,0.1760587045636639,0.46590026011135427,2.705783292738933,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,5,computed,1e-08,False,False
2026-06-01T17:33:39,9,40,90040,constant,-116.06022237739242,246.12044475478484,269.71491095167846,True,0,Optimization terminated successfully,0.0035557095291644,9.998941535830747,0.708848000213686,0.2081036805375615,0.0270959071142443,0.0341233574132125,0.0529068972919197,17281.64405859797,14763.36438883788,226.55546680874303,66.95369372310186,370.5550935035002,3.440676971220245e-05,0.0002712404049958248,,,,,,,,,,,-116.06022237739778,246.1204447547956,269.7149109516892,-116.06022237739242,246.12044475478484,269.71491095167846,5.357492227631155e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.8264477940395889,0.8264477940395889,0.0341233574132125,0.027992575302110363,686.0856999566643,319.7397946269912,686.0856999566643,0.10311495197610794,0.19617363176224617,1.6938769835677385,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,6,computed,1e-08,False,False
2026-06-01T17:35:56,4,40,40040,constant,-125.8514855515725,265.702971103145,289.2974373000386,True,0,Optimization terminated successfully,0.1758048889862266,9.589659810860091,0.4296821379638657,0.1267888236757748,0.0720906239249641,0.014625807471459,0.1666666685445807,1.6609658115531087,2.9865589189038517,0.11666734681404448,0.03965567235894984,2.2060426156379283e-06,1.6515426929488226e-05,0.10114419700922156,,,,,,,,,,,-125.85148555158152,265.70297110316307,289.2974373000567,-125.8514855515725,265.702971103145,289.2974373000386,9.023892744153272e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.5291218617642351,0.5291218617642351,0.014625807471459,0.26641705236336316,2819.642465059386,38.5260342500481,2819.642465059386,0.468096914133773,0.49933624059639325,1.6733293289784557,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,7,computed,1e-08,False,False
2026-06-01T16:34:39,3,3,30003,constant,-125.97520453797397,265.95040907594796,289.5448752728416,True,0,Optimization terminated successfully,7.44383888594241,4.968896256591173,0.3296392675157145,0.4879347525689627,0.4297242967438656,0.2649110194261993,0.0160158702761862,0.12251269095083593,45.440864856571395,0.008498279574019038,0.20156106524748466,0.1847770230144103,0.017274705951081642,5.767741305042821e-06,,,,,,,,,,,-125.97520453795694,265.95040907591385,289.5448752728076,-125.97520453797397,265.95040907594796,289.5448752728416,-1.7024603948812e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.7884687921721286,0.7884687921721286,0.0160158702761862,0.5236671576042521,61.09238408140232,13683.632130823316,13683.632130823316,0.7832602545985696,0.8960260885462806,7.797294545665688,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,8,computed,1e-08,False,False
2026-06-01T17:13:44,11,27,110027,constant,-133.3621591573041,280.7243183146082,304.3187845115018,True,0,Optimization terminated successfully,1.0322862651704054,9.932763493779255,0.7348984346569685,0.350501857644716,0.0001406801158794,0.0078431074765536,0.0587023228307936,2913.5846607022436,104.0320675086009,0.5242904750297019,19.987006742305994,0.44771545127452983,0.0009726196478011017,1.435141229104837,,,,,,,,,,,-133.36215915729332,280.72431831458664,304.31878451148026,-133.3621591573041,280.7243183146082,304.3187845115018,-1.0771827874123119e-11,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.9102197035372661,0.9102197035372661,0.0078431074765536,0.034291432967423575,22676.149392233005,442.19328471560925,22676.149392233005,0.13825743253734485,0.30542604664184586,2.918689815556174,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,9,computed,1e-08,False,False
2026-06-01T16:56:52,39,19,390019,constant,-135.47348150482674,284.9469630096535,308.5414292065471,True,0,Optimization terminated successfully,0.2344212550778203,9.99999999749742,0.34771266028314,0.2335387388381646,0.0004934179893647,0.0162717547665781,0.2018817736146134,8.280593072350213,2.532494377286927,0.255613228333429,0.00010156410164181334,0.00045265187492235444,7.987081134356846e-09,0.07144056469933092,,,,,,,,,,,-135.4734815048325,284.94696300966507,308.5414292065587,-135.47348150482674,284.9469630096535,308.5414292065471,5.7696070143720135e-12,200.0,True,-150.0,False,0.87,True,True,True,True,True,eligible,0.4647287386969047,0.4647287386969047,0.0162717547665781,0.4076245727922777,2431.8738410059427,31.126822994380134,2431.8738410059427,0.6249544158521374,0.648665426306378,1.9124998404070104,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,10,computed,1e-08,False,False
