timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,optimizer_success,status,param_shape_p,param_shape_n,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_cond_var_median,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
2026-06-17T16:19:53,1,1,10001,constant,-199.8438794667986,407.6877589335972,421.1703110461078,True,True,0,2.6759547524249774,0.1859824794668701,0.2982593370377417,1.5724893437561638,,,,,,0.6979323799355592,2.6759547524249774,2.6759547524249774,2.6759547524249774,0.1859824794668701,0.1859824794668701,0.1859824794668701,0.6979323799355592,0.6979323799355592,-1.3043217280591908,-1.3043217280591908,-1.3043217280591908,6.950039693109476,6.950039693109476,6.950039693109476
2026-06-17T16:20:03,1,2,10002,constant,-199.84388007036264,407.6877601407252,421.1703122532359,True,True,0,2.6766967029698794,0.1859733053269304,0.2982113797195331,1.5726427305249615,,,,,,0.6979888480117271,2.6766967029698794,2.6766967029698794,2.6766967029698794,0.1859733053269304,0.1859733053269304,0.1859733053269304,0.6979888480117271,0.6979888480117271,-1.3047027774358264,-1.3047027774358264,-1.3047027774358264,6.952319054883829,6.952319054883829,6.952319054883829
2026-06-17T16:20:16,1,3,10003,constant,-199.84416785345792,407.68833570691584,421.17088781942647,True,True,0,3.0347068063404423,0.1608107847093378,0.2816468763542338,1.75652938452906,,,,,,0.7368928730783575,3.0347068063404423,3.0347068063404423,3.0347068063404423,0.1608107847093378,0.1608107847093378,0.1608107847093378,0.7368928730783575,0.7368928730783575,-1.6074557593513372,-1.6074557593513372,-1.6074557593513372,9.299763484335703,9.299763484335703,9.299763484335703
2026-06-17T16:20:28,1,4,10004,constant,-199.843879752856,407.687759505712,421.1703116182226,True,True,0,2.6764399741234035,0.185951432395281,0.2982220546401898,1.5726702877729808,,,,,,0.69794507899029,2.6764399741234035,2.6764399741234035,2.6764399741234035,0.185951432395281,0.185951432395281,0.185951432395281,0.69794507899029,0.69794507899029,-1.3046070429644852,-1.3046070429644852,-1.3046070429644852,6.952000664448098,6.952000664448098,6.952000664448098
2026-06-17T16:20:41,1,5,10005,constant,-199.8439500649025,407.687900129805,421.17045224231566,True,True,0,2.7229895558805843,0.1836451932859668,0.2956742023503532,1.5878123146643917,,,,,,0.7010492549035752,2.7229895558805843,2.7229895558805843,2.7229895558805843,0.1836451932859668,0.1836451932859668,0.1836451932859668,0.7010492549035752,0.7010492549035752,-1.329531732608449,-1.329531732608449,-1.329531732608449,7.1285670506629435,7.1285670506629435,7.1285670506629435
2026-06-17T16:20:54,1,6,10006,constant,-199.8438797099704,407.6877594199408,421.1703115324514,True,True,0,2.6759465846217263,0.1860275201756298,0.2982483648593679,1.5721190045203886,,,,,,0.6978088700690599,2.6759465846217263,2.6759465846217263,2.6759465846217263,0.1860275201756298,0.1860275201756298,0.1860275201756298,0.6978088700690599,0.6978088700690599,-1.3036662153506313,-1.3036662153506313,-1.3036662153506313,6.945246134015887,6.945246134015887,6.945246134015887
2026-06-17T16:21:05,1,7,10007,constant,-199.84395134298296,407.6879026859659,421.17045479847656,True,True,0,2.723536009502002,0.1834721995824888,0.2956472757656685,1.5891375639148035,,,,,,0.7013899839661683,2.723536009502002,2.723536009502002,2.723536009502002,0.1834721995824888,0.1834721995824888,0.1834721995824888,0.7013899839661683,0.7013899839661683,-1.331838039478179,-1.331838039478179,-1.331838039478179,7.145338601588053,7.145338601588053,7.145338601588053
2026-06-17T16:21:21,1,8,10008,constant,-199.84387948956245,407.6877589791249,421.17031109163554,True,True,0,2.675809227607869,0.185952101191298,0.2982697757509625,1.572723833770958,,,,,,0.6979981230437916,2.675809227607869,2.675809227607869,2.675809227607869,0.185952101191298,0.185952101191298,0.185952101191298,0.6979981230437916,0.6979981230437916,-1.3047253183609333,-1.3047253183609333,-1.3047253183609333,6.953006133012874,6.953006133012874,6.953006133012874
2026-06-17T16:21:39,1,9,10009,constant,-199.84387962398475,407.6877592479695,421.1703113604801,True,True,0,2.676338224953801,0.1859649687704394,0.2982312401042697,1.572581853510408,,,,,,0.697932446253158,2.676338224953801,2.676338224953801,2.676338224953801,0.1859649687704394,0.1859649687704394,0.1859649687704394,0.697932446253158,0.697932446253158,-1.3044605898841368,-1.3044605898841368,-1.3044605898841368,6.950973201410905,6.950973201410905,6.950973201410905
2026-06-17T16:22:01,1,10,10010,constant,-199.84387946586884,407.6877589317377,421.1703110442483,True,True,0,2.675916123820484,0.1859590325843999,0.2982578544825442,1.5726119639517604,,,,,,0.6979403150964998,2.675916123820484,2.675916123820484,2.675916123820484,0.1859590325843999,0.1859590325843999,0.1859590325843999,0.6979403150964998,0.6979403150964998,-1.3044818864144219,-1.3044818864144219,-1.3044818864144219,6.951303317836377,6.951303317836377,6.951303317836377
2026-06-17T16:22:16,1,11,10011,constant,-199.8441678566832,407.6883357133663,421.17088782587695,True,True,0,3.0347788524474377,0.160823251442779,0.2816419326559379,1.7564144540233635,,,,,,0.7368636704075682,3.0347788524474377,3.0347788524474377,3.0347788524474377,0.160823251442779,0.160823251442779,0.160823251442779,0.7368636704075682,0.7368636704075682,-1.6072526587623166,-1.6072526587623166,-1.6072526587623166,9.298066320211603,9.298066320211603,9.298066320211603
