seed,draw,random_state,mean_type,success,optimizer_success,status,loglik,AIC,BIC,corrected_loglik,corrected_AIC,corrected_BIC,selection_eligible,selection_reason,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_median,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
1,1,100012,"ARX(1,1)",True,True,0,-171.69617878090446,365.3923575618089,402.46937587121323,-171.69617878090446,365.3923575618089,402.46937587121323,True,eligible,5.454125826336616,0.0464821644012739,0.3911668956751739,0.0225535075723413,0.9201217283223596,1.190974799155578,0.1173084856965516,0.8267294956551573,0.1215387627139043,0.2554876142552928,0.6853934600570384,,,8.98285242143515,11.823399648886692,60.77431906035901,0.04755468945121824,0.05235166158528533,0.6916114446912563,0.15916030789108115,0.2515207722580133,1.1677695461638788,-0.7487421338587833,-0.02439865940466715,0.12868441902087394,0.14565788319951775,0.1855276556230701,1.9500682068001773
1,2,100022,"ARX(1,1)",True,True,0,-170.54811524436934,363.0962304887387,400.173248798143,-170.54811524436934,363.0962304887387,400.173248798143,True,eligible,1.785046414415873,0.0810524189158148,0.5670207365211202,0.0284815123399956,0.6131237236500549,1.0319217273289012,0.1665837310933324,0.8361795628424131,0.1370614823022305,0.2958966054414185,0.6167572734033371,,,4.182745857166837,5.860658431363756,26.82869063823267,0.08342859137611895,0.08846135985071145,0.637058925695073,0.17911737428782237,0.2629134086004159,1.0828876632882138,-0.6804308123418028,-0.056766558107114964,0.13974049549944048,0.26742758752307233,0.3163941368668053,1.9279162450939888
1,3,100032,"ARX(1,1)",True,True,0,-170.54811401536193,363.09622803072386,400.1732463401282,-170.54811401536193,363.09622803072386,400.1732463401282,True,eligible,1.782215856734079,0.0813591806184854,0.5676261658626992,0.0282516833271498,0.6122600062054231,1.0297466698433408,0.1665563092856097,0.833949466389256,0.1369410055197142,0.2960096697898641,0.6167917178023944,,,4.182385784902346,5.862904438433334,26.812728963855413,0.08372453980910982,0.08876098352630524,0.639319736115239,0.17896248733224096,0.26256057910417774,1.0823538370518158,-0.6770692506860185,-0.05634079793233342,0.14001749255876966,0.2656549542139172,0.31437344932338784,1.9142069225186953
1,4,100042,"ARX(1,1)",True,True,0,-174.35369811589032,370.70739623178065,407.78441454118496,-174.35369811589032,370.70739623178065,407.78441454118496,True,eligible,2.0333249404269207,0.266089492829179,0.3602181109148151,0.0017373803510853,0.6772955190964394,0.5131208582827207,0.211815099113359,0.4382510884133319,0.158452249793973,0.4004522439372158,0.5215347903540538,,,3.180849566323906,3.701841382651954,13.785764881729607,0.26655259607212684,0.26946023650317297,1.4045306118529786,0.19589095365996834,0.2456367438118984,0.7244407088460446,-0.16316600792666264,0.018562142566092392,0.20682819975028782,0.09851541573196566,0.1228371929662867,0.3669726762476673
1,5,100052,"ARX(1,1)",True,True,0,-170.54811673710708,363.09623347421416,400.17325178361847,-170.54811673710708,363.09623347421416,400.17325178361847,True,eligible,1.7848238064081383,0.0810731071162296,0.5667059467520695,0.0283308368095965,0.6133843640789428,1.0333760665090246,0.1666723464690488,0.836319135741247,0.1370739812898811,0.2960330920623768,0.6165677043297849,,,4.17896582856171,5.854344527182841,26.79798861430113,0.08343694561156287,0.0884774671589024,0.6378305054438635,0.17916254883054086,0.26303117628721456,1.0829733207769683,-0.6814897493274836,-0.05679783717472448,0.139732215164313,0.2676406592748856,0.31669625177674054,1.931265305442626
1,6,100062,"ARX(1,1)",True,True,0,-171.83086934273234,365.6617386854647,402.738756994869,-171.83086934273234,365.6617386854647,402.738756994869,True,eligible,4.114748080723561,0.0317826771958254,0.3600842418081723,0.0262725512910828,1.053767961775013,1.6862107122748795,0.1338768831179004,1.077274683918228,0.1112803785352831,0.210205385735072,0.7290068370466466,,,6.450779011438972,8.806796336560195,52.93783905316176,0.032640219028063765,0.03626880445779914,0.548144868032536,0.15785230891208535,0.2665958496054275,1.4133214044740376,-1.332856519156114,-0.050780758747514664,0.16073947129487076,0.2797921220679096,0.35080556865872176,4.444627983330736
1,7,100072,"ARX(1,1)",True,True,0,-170.54812699172223,363.09625398344446,400.17327229284876,-170.54812699172223,363.09625398344446,400.17327229284876,True,eligible,1.7826473175777908,0.0814378347463884,0.5677864182789883,0.0281733134782314,0.6116511716299138,1.0293829196264823,0.1664943716584568,0.8336740519923634,0.1368018631621708,0.296069375491762,0.6168874269948206,,,4.185039945910427,5.86669357852953,26.80548867381023,0.08379872242754047,0.08882132479500547,0.6396408323319707,0.17896035378440348,0.2625211699801794,1.081932848784938,-0.676747100762323,-0.05634788365192552,0.13974272045171526,0.26552416777899096,0.3141598314874067,1.9124065327916133
1,8,100082,"ARX(1,1)",True,True,0,-172.48627182071442,366.97254364142884,404.04956195083315,-172.48627182071442,366.97254364142884,404.04956195083315,True,eligible,0.3854930185831472,0.5039599428364028,0.5985177813225909,0.022816261488821,0.5079712265987025,0.6232128955623684,0.3091360967600822,0.4656967340810442,0.1116529568259591,0.3482526181338475,0.5973703244522698,,,0.984244031012151,1.455133080860806,6.129384927662365,0.5157269027075072,0.5238924022238962,1.6426905423302638,0.21019446173078704,0.27409435311915503,0.867028011768935,-0.2424991230349654,-0.030927676408490506,0.23088867541876526,0.20293550865501123,0.25356593560708046,0.6905478822771375
1,9,100092,"ARX(1,1)",True,True,0,-171.14181990302592,364.28363980605184,401.36065811545615,-171.14181990302592,364.28363980605184,401.36065811545615,True,eligible,2.3588266023773508,0.1061311061955848,0.4864178322500511,0.0140729172721061,0.791817308394414,1.2267674674581814,0.1504716886064847,0.7907507258487211,0.122714955750428,0.3219015953361009,0.5909100672182593,,,4.640769169356783,6.970684470954678,35.84985957956741,0.10764599944043393,0.11091297923357388,0.8507560358835409,0.1763765693965573,0.26890055647423056,1.165637662049647,-0.7728352814990571,-0.07059281614582898,0.11347366759322276,0.26949342693932243,0.3100901773333617,2.0113614149940946
1,10,100102,"ARX(1,1)",True,True,0,-170.54814015337413,363.09628030674827,400.1732986161526,-170.54814015337413,363.09628030674827,400.1732986161526,True,eligible,1.7829470217129624,0.0809860564788242,0.5664751970519832,0.0284660495822253,0.614036107431568,1.034701351533148,0.1667948289092757,0.8367157772584246,0.1371326073203314,0.2962692463959362,0.6162160106841897,,,4.17226189269015,5.84622823692097,26.771777897554347,0.08335895667825194,0.08842535793658625,0.6382507208673853,0.179152047937771,0.26308374581415855,1.0834815386744348,-0.6826481798801542,-0.05682291801040617,0.1399152754218803,0.26791486552644095,0.3171025300634228,1.9357905709667402
