timestamp,seed,draw,random_state,mean_type,success,optimizer_success,status,message,loglik,AIC,BIC,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,se_p0,se_n0,se_rho_p,se_rho_n,se_phi_p_plus,se_phi_n_minus,se_sigma_p,se_sigma_n,param_c,param_rho_1,param_phi_1,se_c,se_rho_1,se_phi_1,param_rho_2,se_rho_2,param_phi_2,se_phi_2,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_variance_bound,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_eligible,selection_reason,selection_persistence_p,selection_persistence_n,selection_sigma_min,selection_uncond_var_ref,selection_max_p_t,selection_max_n_t,selection_shape_max,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max,rank,se_message,se_hessian_ridge,se_used_pseudoinverse,se_used_opg_fallback
2026-06-01T19:29:47,22,15,2200151,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-157.81214026368787,331.62428052737573,358.58938475239705,4.756535566300043,9.503285331451194,0.7756951571642229,0.5533426597124214,0.1351882630093458,0.2748790389939959,0.1907820735833695,0.0187517443505298,0.15611452108627838,2.3729634481779712e-07,0.00027441567390464744,0.00027318209276446393,2.0817079449878203e-06,0.00027325858726224384,0.15625339591747583,8.67835307535968e-05,,,,,,,,,,,-157.81214026352444,331.6242805270489,358.5893847520702,-157.81214026368787,331.62428052737573,358.58938475239705,-1.6342482922482304e-10,200.0,True,-150.0,True,0.87,True,True,True,True,True,eligible,0.8432892886688957,0.6907821792094193,0.0187517443505298,0.17646904875415964,37.12147331147833,6312.73243739148,6312.73243739148,0.787001476875106,0.8526108138625543,3.103929940217317,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,1,computed,1e-08,False,False
2026-06-02T01:06:10,9,39,900391,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.88253455436876,371.7650691087375,398.73017333375884,3.212923323358944,0.0487022570131601,0.382742542183041,0.1018850148461507,0.8629585874655527,1.5660224156207845,0.1419887517135479,1.6387606757566897,1.5786339478797116,0.025656301597840055,0.10069409284777692,0.054374089376881735,0.21139592412037886,0.1607623816327329,0.04899543990310115,0.6698728079208044,,,,,,,,,,,-177.88253455437118,371.7650691087424,398.7301733337637,-177.88253455436876,371.7650691087375,398.73017333375884,2.4158453015843406e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8142218359158173,0.8848962226565429,0.1419887517135479,0.19556681396580314,125.82614474871167,4.7466126986400425,125.82614474871167,0.25155984668223585,0.36602010587305345,12.9739097622806,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,2,computed,1e-08,False,False
2026-06-01T18:14:01,17,10,1700101,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.8825347153594,371.7650694307188,398.73017365574015,3.213698029211253,0.0487099017633742,0.3826577361663341,0.101898576317998,0.8630173188448581,1.565881737791176,0.141986328926435,1.6388021263679684,1.3867738143165769,0.025480892824619187,0.10015242558602772,0.05358111881460199,0.20910169550508773,0.16157901602614708,0.04614389392886761,0.6600430231381176,,,,,,,,,,,-177.88253471535683,371.76506943071365,398.730173655735,-177.8825347153594,371.7650694307188,398.73017365574015,-2.5863755581667647e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8141663955887631,0.884839445213586,0.141986328926435,0.1956073694361356,125.83234508257328,4.745963159596764,125.83234508257328,0.2515990966008061,0.36605404222434335,12.972767870497641,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,3,computed,1e-08,False,False
2026-06-01T17:46:44,34,10,3400101,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.88253476883102,371.76506953766204,398.73017376268336,3.2123226426817064,0.0487179735397416,0.3827228513860232,0.1018844261550557,0.8630535984276442,1.5657999901066062,0.1420021478524687,1.6384792264468124,1.649061511252733,0.025827101712583924,0.10055064917560338,0.05535830801510939,0.2112555952668407,0.16228196632022718,0.05154162023550625,0.6790850972773829,,,,,,,,,,,-177.88253476882772,371.76506953765545,398.7301737626768,-177.88253476883102,371.76506953766204,398.73017376268336,-3.296918293926865e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8142496505998453,0.8847844212083588,0.1420021478524687,0.19556419563318123,125.81397873658767,4.74757566887133,125.81397873658767,0.251553464880762,0.36602287685784546,12.97211359420597,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,4,computed,1e-08,False,False
2026-06-01T21:44:10,1,28,100281,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.88253480508212,371.76506961016423,398.73017383518555,3.2124189866931525,0.0487202530596156,0.3827748319089812,0.1018411335268313,0.8629711352354378,1.565832895837075,0.1419946321295585,1.6384162229140466,1.5799226937350734,0.02565954008972074,0.10094506053742368,0.05482009038072326,0.21157188158866722,0.1614811871848928,0.049871849495256255,0.6702072881994378,,,,,,,,,,,-177.88253480508308,371.76506961016617,398.7301738351875,-177.88253480508212,371.76506961016423,398.73017383518555,9.663381206337363e-13,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8142603995267002,0.8847575814453689,0.1419946321295585,0.195555342696761,125.81990121374943,4.748035192379295,125.81990121374943,0.25154304350695744,0.3660086027342414,12.972391706995896,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,5,computed,1e-08,False,False
2026-06-01T18:27:59,46,10,4600101,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.8825348761366,371.7650697522732,398.7301739772945,3.2130977884086187,0.0487203122261328,0.3826810095296397,0.1018415753735169,0.863132594596036,1.5658671647461555,0.1419929220683021,1.6382426690876712,1.6449614004485877,0.025757789139984742,0.1013368535853784,0.05464540448620126,0.21241464413967379,0.16139934314535903,0.05045409528601757,0.6738492291082838,,,,,,,,,,,-177.88253487613989,371.76506975227977,398.7301739773011,-177.8825348761366,371.7650697522732,398.7301739772945,3.296918293926865e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8142473068276577,0.8847751577465947,0.1419929220683021,0.19553992134467107,125.83830727716636,4.749132596134299,125.83830727716636,0.2515156630107975,0.36598774468388406,12.97259928357602,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,6,computed,1e-08,False,False
2026-06-01T20:44:47,22,21,2200211,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.88253488101554,371.7650697620311,398.7301739870524,3.2130237607069057,0.0487217879134565,0.3827442902606986,0.1018957587830726,0.8628636239842119,1.5656466341507085,0.1419897953181735,1.6385068124121172,1.565874121959675,0.02554839359763486,0.10086875386328104,0.05430317176197365,0.21112533862606694,0.16168703409978097,0.04953692875521829,0.6649309728112797,,,,,,,,,,,-177.88253488101967,371.7650697620393,398.7301739870607,-177.88253488101554,371.7650697620311,398.7301739870524,4.121147867408581e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8141761022528046,0.8847190758584268,0.1419897953181735,0.19558170656644336,125.8114130679379,4.746962913737887,125.8114130679379,0.2515798932534257,0.36602794810537825,12.970893822424085,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,7,computed,1e-08,False,False
2026-06-01T20:31:22,40,25,4000251,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.8825349910553,371.7650699821106,398.73017420713194,3.213968358579827,0.0487295753591186,0.3827274793281617,0.1018395759161021,0.8630267130535785,1.5659319373537457,0.1419629586436941,1.6380889063833926,1.5824520206478656,0.02548292627351051,0.10116133086956221,0.05387656578482847,0.20999586513332755,0.16135308667614903,0.04935849464865638,0.661934994284663,,,,,,,,,,,-177.8825349910514,371.7650699821028,398.73017420712415,-177.8825349910553,371.7650699821106,398.73017420713194,-3.922195901395753e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8142408358549509,0.884805544592975,0.1419629586436941,0.19553044028412403,125.87988702168255,4.750218463538548,125.87988702168255,0.2515079380073335,0.36597341761742846,12.973129346781292,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,8,computed,1e-08,False,False
2026-06-02T00:50:08,22,40,2200401,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.8825350326504,371.7650700653008,398.7301742903221,3.212207024837794,0.048706306110963,0.382746278446685,0.1019002137468383,0.8630805446176439,1.565813525326623,0.1420030810058647,1.6389201782590728,1.6483045022119833,0.025788886763874957,0.10085470386719853,0.054800498136133864,0.2114973769585816,0.16150347608862678,0.05125350983487851,0.6760332317872205,,,,,,,,,,,-177.88253503265224,371.7650700653045,398.7301742903258,-177.8825350326504,371.7650700653008,398.7301742903221,1.8474111129762605e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.814286550755507,0.8848069764101498,0.1420030810058647,0.1956017821463073,125.81801060494922,4.745079036239916,125.81801060494922,0.25160135346797396,0.36607841271570474,12.97228995164784,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,9,computed,1e-08,False,False
2026-06-01T19:31:34,44,17,4400171,constant,True,True,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-177.88253505259175,371.7650701051835,398.7301743302048,3.2126071175398847,0.0487038977067746,0.3827949567563932,0.1018587519496148,0.8628545491754364,1.5662032135540234,0.1419892737598878,1.638976857679013,1.5519214842787779,0.025662336320315185,0.10086918027143306,0.05467546103562326,0.2107197858272911,0.16138532540118383,0.04939428673588025,0.6718849155472504,,,,,,,,,,,-177.88253505258768,371.76507010517537,398.7301743301967,-177.88253505259175,371.7650701051835,398.7301743302048,-4.064304448547773e-12,200.0,False,-150.0,True,0.87,True,True,True,True,True,eligible,0.8142222313441114,0.8849603587266265,0.1419892737598878,0.19559983239045786,125.81476502199195,4.745916759996524,125.81476502199195,0.2515984523631072,0.36605270677788415,12.975424148069491,8.679283097964063e-08,1.350005585272172e-06,86792.83097964064,1350005.585272172,10,computed,1e-08,False,False
