model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,p,o,q,nobs,num_parameters,loglikelihood,aic,bic,persistence_proxy,stable_by_proxy,implied_initial_variance,implied_initial_variance_status,initialization_method,restart_attempts,valid_restart_attempts,optimizer_success,convergence_flag,covariance_type,selection_status,selected_checks_passed,resid_skewness,resid_excess_kurtosis,std_resid_skewness,std_resid_excess_kurtosis
M121,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,215,10,-171.3839159484964,362.7678318969928,396.4742121782694,1.0000000000000042,False,,undefined_or_nonstationary,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.314379800253523,10.122605624514778,-0.8147280165966252,8.455673115898827
M124,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,215,11,-171.3839159515975,364.767831903195,401.8448502125993,1.0000000000001088,False,,undefined_or_nonstationary,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.3143791035538106,10.122595118470533,-0.8147201981623179,8.455610948597824
M127,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,215,11,-170.78091643255144,363.5618328651029,400.6388511745072,0.9999999999999997,False,331476305719130.8,exact,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.3088280835136814,10.106252607207626,-0.49542134379719865,6.53330411302894
M130,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,215,12,-170.61857103751916,365.2371420750383,405.6847984125703,0.9999999999999989,False,101453980107632.97,exact,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.3151417049165401,10.177383521305705,-0.3947384080813869,6.209876840595246
M122,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,215,11,-168.61306466324595,359.2261293264919,396.3031476358962,0.9722895953925748,True,2.599915779784821,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-1.2316856106023564,9.679495921383277,-0.3651241459303858,6.401567984542444
M125,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,215,12,-168.61306465610716,361.2261293122143,401.67378564974626,0.9722846535361053,True,2.5994151364577265,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-1.2316780275585648,9.679470833096586,-0.365135762821176,6.4015968285408995
M128,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(2,1)","(2,1)",2,2,1,215,13,-166.21150891209865,358.4230178241973,402.2413121898569,0.8425585625138031,True,0.6940592197105466,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-1.173259844752243,9.394781369958498,0.021541394869092158,3.667505871283769
M131,mix_normal,Gaussian mixture,ARX_2_1,"ARX(2,1)",GJR-GARCH,"GJR-GARCH(2,2)","(2,2)",2,2,2,215,14,-166.21150892770646,360.4230178554129,407.61195024920016,0.842594441362455,True,0.6942108487982309,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-1.173250813558101,9.394755418853851,0.021573907614600683,3.6674556795961823
M135,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(1,1)","(1,1)",1,1,1,215,12,-167.3628269692444,358.7256539384888,399.17331027602074,0.8033339254621663,True,0.49508548799916224,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-1.2324780730748537,9.728743483461423,-0.589467459590715,6.595408913872042
M138,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(1,2)","(1,2)",1,1,2,215,13,-166.44684547424305,358.8936909484861,402.7119853141457,0.9400517394688985,True,0.19118917638128635,proxy_from_log_variance,arch_default,50,48,True,0,robust,passed_checks,True,-1.3225934044191368,9.443340386093993,-0.041978997572478326,4.026207512440356
M141,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(2,1)","(2,1)",2,2,1,215,14,-162.58230545466031,353.16461090932063,400.3535433031079,0.9542605594314609,True,0.20599207608458397,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-1.181887293581928,8.438832879262188,-0.6382637478928491,3.260937415204854
M144,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",EGARCH,"EGARCH(2,2)","(2,2)",2,2,2,215,15,-164.50539454862385,359.0107890972477,409.57035951916265,0.9428620289967998,True,0.25374952062329836,proxy_from_log_variance,arch_default,50,50,True,0,robust,passed_checks,True,-1.1740919491681128,8.566337402701626,-0.5231525168415471,3.175219465620909
M133,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,1)","(1,1)",1,0,1,215,11,-171.19943245953854,364.3988649190771,401.4758832284814,1.0,False,,undefined_or_nonstationary,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.3236267328835112,10.16765307979677,-0.8479257631430447,8.614669530440562
M136,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(1,2)","(1,2)",1,0,2,215,12,-171.1994324577484,366.3988649154968,406.84652125302875,1.0000000000000209,False,,undefined_or_nonstationary,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.3236230776488251,10.167647276598847,-0.847925962531938,8.614677607770465
M139,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(2,1)","(2,1)",2,0,1,215,12,-170.70112366676284,365.4022473335257,405.84990367105763,1.0,False,,undefined_or_nonstationary,arch_default,50,0,True,0,robust,fallback_best_converged_no_checks_passed,False,-1.312990341334972,10.129913822144948,-0.5302335004080073,6.66876024669379
M142,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GARCH,"GARCH(2,2)","(2,2)",2,0,2,215,13,-174.8814013429291,375.7628026858582,419.5810970515178,0.8078108894217472,True,0.7035300474891474,exact,arch_default,50,2,True,0,robust,passed_checks,True,-1.1164415780928039,8.859568034194886,-0.012847719331543737,4.562902953544454
M134,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GJR-GARCH,"GJR-GARCH(1,1)","(1,1)",1,1,1,215,12,-168.48011410148598,360.96022820297196,401.4078845405039,0.9777788701785814,True,3.282864154797611,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-1.2337405084369155,9.704015815416723,-0.39076109351857696,6.509954634557012
M137,mix_normal,Gaussian mixture,ARX_2_2,"ARX(2,2)",GJR-GARCH,"GJR-GARCH(1,2)","(1,2)",1,1,2,215,13,-168.4801140747315,362.960228149463,406.7785225151226,0.9777756936875446,True,3.282231215395039,exact_under_symmetry,arch_default,50,50,True,0,robust,passed_checks,True,-1.2337226219263875,9.703942810716525,-0.39070596666345486,6.509764378115515
