model_id,parameter,coef,std_err,t_value,p_value
M001,alpha[1],0.4799128690902011,0.16532330690866917,2.902874846045289,0.0036975436921723574
M001,beta[1],0.4724896733155532,0.09793049462211657,4.824745092310056,1.4018243807557812e-06
M001,omega,0.069409765542179,0.04007195533394864,1.732128241902276,0.08325073179025139
M002,alpha[1],0.5989880871315187,0.3144543351940575,1.9048491945956745,0.056799676994708705
M002,beta[1],0.5577615005632761,0.1685293342882904,3.3095811059762195,0.0009343569117893074
M002,gamma[1],-0.5795452146209908,0.2576968431090565,-2.248941848215537,0.024516196060925907
M002,omega,0.05729653951026915,0.022315258910061996,2.5675946553519045,0.010240682629785778
M003,alpha[1],0.42353739992024586,0.17900063877773914,2.3661222820894077,0.017975506151832413
M003,beta[1],0.81931564404329,0.06735958244449536,12.16331239461602,4.874145131338112e-34
M003,gamma[1],0.2932595796345221,0.08358588764366871,3.5084819686871542,0.0004506717829827927
M003,omega,-0.2237844337460032,0.10490731327633922,-2.1331633301534136,0.032911330100552284
M004,alpha[1],0.4799098426436054,28.38135383893581,0.01690933580431342,0.9865089449377902
M004,beta[1],0.47249150194468076,27.084674202444088,0.017444976388235223,0.9860816286363373
M004,beta[2],0.0,72.90443653268862,0.0,1.0
M004,omega,0.0694095129942476,10.26000582163244,0.006765055907463807,0.9946023075102802
M005,alpha[1],0.5989974796065198,2.5945010186623083,0.23087193849527002,0.8174142916767149
M005,beta[1],0.5577575358231184,2.9705177086432166,0.18776442039050292,0.8510613280566214
M005,beta[2],0.0,5.274691579619921,0.0,1.0
M005,gamma[1],-0.5795536806482815,1.8808922480356316,-0.3081269973086212,0.7579856990793654
M005,omega,0.05729701533498021,0.371289845664725,0.1543188320499329,0.8773583493465397
M006,alpha[1],0.4235338805093712,0.16321213205145182,2.594990183547472,0.009459362062200966
M006,beta[1],0.8193156536024847,0.7537825654697619,1.0869389809936534,0.2770637774710336
M006,beta[2],2.305213187558132e-14,0.8967515082403948,2.570626496164383e-14,0.9999999999999795
M006,gamma[1],0.29326037946007866,0.079262240238024,3.699874979301867,0.00021570570417598538
M006,omega,-0.22378496508974058,0.21189898146679095,-1.056092688792902,0.2909258703315386
M007,alpha[1],0.19580567162885465,0.12407986996691735,1.5780615476230038,0.11455147091138665
M007,alpha[2],0.5733106780665753,0.2088793655617494,2.744697526846384,0.006056669296038922
M007,beta[1],0.0,0.05958139487595641,0.0,1.0
M007,omega,0.15370887385171977,0.05522710266439699,2.783214516716094,0.00538232063972689
M008,alpha[1],0.23356717717561232,0.1368827465979704,1.706330293485472,0.08794660090819109
M008,alpha[2],0.7538162222763372,0.285195645116604,2.6431547437133367,0.008213748672713102
M008,beta[1],0.11566850566394511,0.13218650199614557,0.8750402190635008,0.38155202249557185
M008,gamma[1],-0.10190565591794458,0.1566375335458276,-0.6505826133180904,0.5153159568867525
M008,gamma[2],-0.7538162222763372,0.2783233216006278,-2.7084191793241263,0.006760457569068795
M008,omega,0.12617359976491807,0.042910108933736986,2.940416673370812,0.00327771147986451
M009,alpha[1],0.3060194410921342,0.16947621987711986,1.8056777600657845,0.07096868853061848
M009,alpha[2],0.31661992637377345,0.3082096870670849,1.0272873944577154,0.3042851562731804
M009,beta[1],0.60304473275567,0.1637986806856707,3.681621428397898,0.00023175536348150842
M009,gamma[1],0.0829391861695455,0.11945353746873283,0.6943217248066427,0.48748046976849135
M009,gamma[2],0.36447649601393733,0.1279894571304654,2.8477071798375557,0.0044035421141736
M009,omega,-0.5132677108804083,0.2078148642091422,-2.4698315629812813,0.013517668396323452
M010,alpha[1],0.19580903062088004,0.1275069038917616,1.5356739489737663,0.12461836741146026
M010,alpha[2],0.5733158284785954,0.20533247605930516,2.792134198552242,0.005236163478737078
M010,beta[1],0.0,0.05792964046790832,0.0,1.0
M010,beta[2],0.0,0.07465067074648259,0.0,1.0
M010,omega,0.15370801673184886,0.05658259477903106,2.7165247075026593,0.006597127089879145
M011,alpha[1],0.23357071379342007,0.13693621046627033,1.7056899194019424,0.0880658275159847
M011,alpha[2],0.7538063113252198,0.2549348586671302,2.956858529533102,0.003107906766852905
M011,beta[1],0.1156747178465157,0.10895939363873894,1.0616314388646637,0.2884030354464352
M011,beta[2],0.0,0.07014070852450621,0.0,1.0
M011,gamma[1],-0.1019099550546759,0.14358340727532162,-0.7097613644121374,0.4778521315524247
M011,gamma[2],-0.7538063113231569,0.25120802043973395,-3.0007254943677197,0.0026933724946311332
M011,omega,0.12617079873633047,0.04386793329671601,2.876150966195066,0.004025571283648461
M012,alpha[1],0.30602754461515524,0.21052394187739415,1.4536472283678827,0.1460441358744057
M012,alpha[2],0.31661468629621486,0.41903081652448393,0.7555880708781119,0.44989621035146676
M012,beta[1],0.6030497472246733,0.34840913580838767,1.7308666313397956,0.08347555435753591
M012,beta[2],0.0,0.19670512554524913,0.0,1.0
M012,gamma[1],0.08293634447310796,0.12363633900905378,0.6708088021518868,0.5023423393532143
M012,gamma[2],0.36447422876193636,0.13664555765863298,2.667296581074838,0.007646416196029932
M012,omega,-0.5132625438830672,0.23617753610381048,-2.173206446092594,0.02976478284974687
M013,Const,0.11374707664791668,0.07353354038311415,1.5468733866924889,0.12189377961383367
M013,Inflation_lag_1,0.478304778649366,0.24597599950474075,1.9445180814892777,0.051833007133258384
