timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,param_p0,param_n0,param_rho_p,param_rho_n,param_phi_p_plus,param_phi_p_minus,param_phi_n_plus,param_phi_n_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,stored_loglik,stored_AIC,stored_BIC,selection_cond_var_median,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
2026-06-01T19:32:03,1,1,10001,"ARX(2,1)",-165.8854067811514,359.7708135623028,406.95974595609005,True,0,0.5920917309751267,0.0006051864501602,0.8221609683585764,0.2663490969689884,0.1832420892881164,4.0879060985070786e-14,0.9600036667052948,0.5060695229575357,0.1744191155140402,0.5679703500863712,0.1062043559470763,0.2085880149317162,0.6221369348415885,0.1384882042469333,,-165.88540679979138,359.7708135995828,406.95974599337,0.236604793529184,3.5742129328691674,4.9819604388673495,13.720227041310606,0.015365404999283218,0.20608621258318272,2.331961770884743,0.12353966341340052,1.250225878735246,-0.7000698522259787,-0.015389561027128046,0.040257131218643605,0.03076276407677959,0.15885974678625644,1.5501991520033906
2026-06-01T19:33:51,1,2,10002,"ARX(2,1)",-165.89065653568485,359.7813130713697,406.97024546515695,True,0,0.6361461649464668,1.736090769869368e-05,0.8094339369163669,0.2683812197282842,0.2025389084847339,1.0023430296778416e-14,0.9590183201349184,0.5041819049421189,0.1751562218628864,0.5723594305050871,0.1095733893773711,0.2126184793660328,0.6132840612033902,0.1399149509618511,,-165.89065653536312,359.78131307072624,406.9702454645135,0.23837577995772363,3.5650105741492077,4.99334802161327,14.092983864605898,0.01461043857917784,0.20391131789303935,2.2697642472294253,0.12387120756544238,1.268442226771467,-0.6992908821243051,-0.014914755480729097,0.04030925813433338,0.030754369188373362,0.16119111170341144,1.5628083700933009
2026-06-01T19:36:54,1,3,10003,"ARX(2,1)",-166.06339145476153,360.12678290952306,407.3157153033103,True,0,0.6817878539671383,0.0099882103594972,0.8027151805293125,0.2318315564614911,0.2215367191974011,2.057043118717074e-12,0.9409434298223318,0.5527740011535872,0.17121514285987,0.6278128648867837,0.1107633492730745,0.211164846886156,0.6104859455833271,0.141466313130483,,-166.06339143984857,360.12678287969715,407.3157152734845,0.24346791674503887,3.6954483323235756,5.284575349090092,15.518408696839877,0.022797543822490635,0.17207162850731753,1.8297890280211109,0.12765514094968114,1.2654350216685775,-0.773074284558212,-0.025356363220633102,0.03306796221687644,0.04217309641885844,0.19459799045318182,1.7657646931819104
2026-06-01T19:40:03,1,4,10004,"ARX(2,1)",-165.8772178852455,359.754435770491,406.94336816427824,True,0,0.5968438833751704,2.339913731087878e-05,0.8173780261336671,0.2689256043992853,0.1890549533912747,2.071710589811861e-13,0.9769046655204876,0.4851942515393289,0.1774363416971162,0.5682160669541679,0.1085233040182231,0.2103397603637509,0.6165035876192339,0.1405460184305136,,-165.87721789616876,359.7544357923375,406.9433681861248,0.239373233990606,3.496929971513916,4.843205868687286,13.370278789369356,0.014308967861716875,0.20495083569395756,2.3542764925271493,0.12457588960409713,1.2650170974252535,-0.7075773799908369,-0.012855925295554071,0.041489850722142604,0.03123218528440415,0.15892499558718973,1.5725585912502826
2026-06-01T19:41:52,1,5,10005,"ARX(2,1)",-165.88034769612358,359.76069539224716,406.9496277860344,True,0,0.6100418172966079,2.1831592301002825e-05,0.8151004895746399,0.2617933951409547,0.1928747801867323,1.3690251480849477e-12,0.9713220008398672,0.5050443988102687,0.1763535411106714,0.5700660956319715,0.1086365494709391,0.2080027345010993,0.619040784600447,0.1398104261704589,,-165.88034769589285,359.7606953917857,406.94962778557294,0.23814114882578216,3.528496430023383,4.903236177509388,13.711834611021509,0.014196949504153454,0.20295429582219882,2.3219579932206726,0.12411888014173533,1.2684040876765252,-0.7047740504683382,-0.013241730839636659,0.041117147634105594,0.030781163514457057,0.1593496960273345,1.5719156298493908
2026-06-01T19:43:58,1,6,10006,"ARX(2,1)",-165.8769761238604,359.7539522477208,406.94288464150804,True,0,0.5851860526806608,0.0001227447021133,0.8196144760498483,0.2762564117741248,0.1864990026901755,3.2230447546053603e-09,0.9665563100041704,0.4806757881610403,0.1780605465568462,0.5713454757717659,0.1055648533166366,0.2076440770890619,0.6267589429767513,0.1371120426805864,,-165.87697612006298,359.75395224012595,406.9428846339132,0.23819448872106802,3.4754412812316877,4.818636464811619,13.27239055902693,0.014737393872790144,0.20585039908669892,2.3537338982185068,0.12492346366811473,1.2704700999079108,-0.7086393515045457,-0.013296858788397481,0.04168706334731967,0.03188405053771549,0.1635292013218212,1.6004080132752827
2026-06-01T19:46:35,1,7,10007,"ARX(2,1)",-166.28733894554523,360.57467789109046,407.7636102848777,True,0,1.1546456539800034,0.0005740225175727,0.7487170770353637,0.2615236358357758,0.2775231815979816,7.657578249895476e-08,0.8786901277980279,0.5966718743365532,0.1491086986052727,0.6451088599617202,0.1228677644917172,0.1962886450714493,0.5935499751244979,0.1537727591495617,,-166.28733894578184,360.5746778915637,407.763610285351,0.23371946356643009,4.815253265901455,6.748716596024395,21.987985974022557,0.012985734818932126,0.17344936942678404,1.7660219487714304,0.12108420264935692,1.3079895181254146,-0.8024579993992578,-0.04556195794815616,0.029372293602253192,0.028984561469921854,0.20116421344525492,1.887897393321067
2026-06-01T19:47:58,1,8,10008,"ARX(2,1)",-165.88567560104838,359.77135120209675,406.960283595884,True,0,0.5802556341080607,3.259423875467321e-05,0.8213482710525022,0.2554920603818884,0.1824806588723779,4.1496635908201236e-10,0.987481760738784,0.5014669381836144,0.1781443487650375,0.5546572657161803,0.1080928343070797,0.2070531366560523,0.6211919409002464,0.1399661938242574,,-165.88567559304664,359.7713511860933,406.9602835798805,0.237976338415019,3.477479546130002,4.804909073786125,13.132199216119638,0.014411554395897053,0.21281226986428195,2.472561901868847,0.12434939335499137,1.2597865858083837,-0.6933477363899302,-0.010946676887892436,0.04232436157725508,0.030548896376978007,0.1520281052289879,1.5036858979927092
2026-06-01T19:50:23,1,9,10009,"ARX(2,1)",-166.37211157912242,360.74422315824484,407.9331555520321,True,0,0.4090373078508271,0.0279415491397715,0.8571644177668813,0.4036685353670851,0.1227925985966513,1.5388791730419517e-18,1.0048321773679794,0.1423079973839261,0.1967925168867896,0.6118902774563219,0.0856580399132536,0.2283290047899945,0.6720940101064797,0.0961407063604933,,-166.37211157566895,360.7442231513379,407.9331555451252,0.2356248270139078,3.0629160756566467,4.080388720373882,9.137662238556644,0.05923399721896256,0.2272049190188998,2.4148809944155567,0.1451505390538435,1.1713877368999859,-0.9950201994352706,-0.03808988938047635,0.02717291850057684,0.07965067441102192,0.2279268289629247,2.096601601950998
2026-06-01T19:52:30,1,10,10010,"ARX(2,1)",-165.87905361075877,359.75810722151755,406.9470396153048,True,0,0.5945341833630324,0.0001653372903481,0.8175614586029062,0.264339460704411,0.1913093304542742,1.1718044108838445e-07,0.9685413384835774,0.5024235688387231,0.1776497508174459,0.5728993323198179,0.1081166476526635,0.2099655425748026,0.6189316335934554,0.1396716916620291,,-165.8790536875904,359.7581073751808,406.947039768968,0.2385944786755228,3.489565014056614,4.851070802369429,13.4588751481717,0.014429378725144899,0.20218383487047917,2.2853788987594017,0.12470681101018809,1.2604405323537569,-0.7062309799617035,-0.013054186347567817,0.04163492718671014,0.03144367345711586,0.16233417969767813,1.5787225417331134
