model_label,mean_process,error_distribution,k_regimes,parameter,parameter_raw,parameter_type,estimate
"ARX(2,1)_student_t_r2_arY_spfY_nuN","ARX(2,1)",Student t,2,const[0],const[0],mean_process,0.32949377520590906
"ARX(2,1)_student_t_r2_arY_spfY_nuN","ARX(2,1)",Student t,2,const[1],const[1],mean_process,-0.04106825907328999
"ARX(2,1)_student_t_r2_arY_spfY_nuN","ARX(2,1)",Student t,2,p[0->0],p[0->0],transition_probability,0.8182952782033831
"ARX(2,1)_student_t_r2_arY_spfY_nuN","ARX(2,1)",Student t,2,p[1->0],p[1->0],transition_probability,0.23904107401235564
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,nu,nu,distribution,7.714885607048413
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,sigma2[0],sigma2[0],distribution,0.1506879182660845
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,sigma2[1],sigma2[1],distribution,6.942278779030856e-08
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,sigma2[2],sigma2[2],distribution,0.930670670345578
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_1,x1,mean_process,0.19940849193752022
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_2,x2,mean_process,0.2304473751682694
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,SPF,x3,mean_process,0.5595995615378287
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,const,const,mean_process,0.11569355309523649
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,p[0->0],p[0->0],transition_probability,0.9477870908120359
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,p[0->1],p[0->1],transition_probability,0.040084917826891456
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,p[1->0],p[1->0],transition_probability,0.3055236956382931
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,p[1->1],p[1->1],transition_probability,0.0
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,p[2->0],p[2->0],transition_probability,0.07874978829104179
"ARX(2,1)_student_t_r3_arN_spfN_nuN","ARX(2,1)",Student t,3,p[2->1],p[2->1],transition_probability,0.0
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,nu,nu,distribution,4.226270907232694
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,sigma2[0],sigma2[0],distribution,0.028160233317914694
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,sigma2[1],sigma2[1],distribution,0.35983553427752285
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,sigma2[2],sigma2[2],distribution,0.017395475010773914
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_1[0],x1[0],mean_process,-0.4103034041141705
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_1[1],x1[1],mean_process,0.12402896350426258
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_1[2],x1[2],mean_process,0.8038900243523002
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_2[0],x2[0],mean_process,-0.15180718189809123
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_2[1],x2[1],mean_process,0.3154912269464368
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,Inflation_lag_2[2],x2[2],mean_process,-0.5983070585279229
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,SPF,x3[2],mean_process,0.8976519846250389
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,const[0],const[0],mean_process,0.4924482360454203
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,const[1],const[1],mean_process,-0.01591244822113793
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,const[2],const[2],mean_process,-0.30753680908594494
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,p[0->0],p[0->0],transition_probability,0.7434785520109679
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,p[0->1],p[0->1],transition_probability,0.00029060262132747904
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,p[1->0],p[1->0],transition_probability,0.06482728084110963
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,p[1->1],p[1->1],transition_probability,0.8528911578020408
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,p[2->0],p[2->0],transition_probability,0.15165586025484099
"ARX(2,1)_student_t_r3_arY_spfN_nuN","ARX(2,1)",Student t,3,p[2->1],p[2->1],transition_probability,0.6759350684329535
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,sigma2[0],sigma2[0],distribution,0.12640676872559603
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,sigma2[1],sigma2[1],distribution,1.0383140189097662
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,Inflation_lag_1,x1,mean_process,0.25799164636506833
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,Inflation_lag_2,x2,mean_process,0.11912233082304566
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,SPF,x3,mean_process,0.3823865570877789
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,SPF_lag_1,x4,mean_process,0.21650498370947643
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,const,const,mean_process,0.08133535357342227
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,p[0->0],p[0->0],transition_probability,0.9385801678915418
"ARX(2,2)_normal_r2_arN_spfN_nuN","ARX(2,2)",Normal,2,p[1->0],p[1->0],transition_probability,0.1392648129235639
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,sigma2[0],sigma2[0],distribution,0.13554766861911738
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,sigma2[1],sigma2[1],distribution,1.0389164795022339
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,Inflation_lag_1[0],x1[0],mean_process,0.1682691890250906
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,Inflation_lag_1[1],x1[1],mean_process,0.3251535999962714
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,Inflation_lag_2[0],x2[0],mean_process,0.08481064231264238
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,Inflation_lag_2[1],x2[1],mean_process,0.05087973985978466
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,SPF,x3[1],mean_process,0.35457086981040203
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,SPF_lag_1,x4[1],mean_process,0.2598671767643758
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,const[0],const[0],mean_process,0.14629576802878055
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,const[1],const[1],mean_process,0.2500649989302343
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,p[0->0],p[0->0],transition_probability,0.9482543082850444
"ARX(2,2)_normal_r2_arY_spfN_nuN","ARX(2,2)",Normal,2,p[1->0],p[1->0],transition_probability,0.1306587725667888
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,sigma2[0],sigma2[0],distribution,0.09994639115382586
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,sigma2[1],sigma2[1],distribution,0.8311838044049136
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,Inflation_lag_1[0],x1[0],mean_process,0.041918772965128366
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,Inflation_lag_1[1],x1[1],mean_process,0.42441771789492894
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,Inflation_lag_2[0],x2[0],mean_process,-0.0744390700711684
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,Inflation_lag_2[1],x2[1],mean_process,0.20138826642238816
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,SPF[0],x3[0],mean_process,0.6925456384619653
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,SPF[1],x3[1],mean_process,-0.07925455247139569
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,SPF_lag_1[0],x4[0],mean_process,0.1263303018644101
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,SPF_lag_1[1],x4[1],mean_process,0.46157623646354917
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,const[0],const[0],mean_process,0.20600668871571234
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,const[1],const[1],mean_process,0.10142439454502443
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,p[0->0],p[0->0],transition_probability,0.9001528024174335
"ARX(2,2)_normal_r2_arY_spfY_nuN","ARX(2,2)",Normal,2,p[1->0],p[1->0],transition_probability,0.1668063393598311
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,sigma2[0],sigma2[0],distribution,0.09656852425369206
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,sigma2[1],sigma2[1],distribution,10.078802393282889
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,sigma2[2],sigma2[2],distribution,0.5904300151703877
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_1,x1,mean_process,0.2671438470241879
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_2,x2,mean_process,0.18008094382217057
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,SPF,x3,mean_process,0.37412385708670437
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,SPF_lag_1,x4,mean_process,0.1546950855996142
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,const,const,mean_process,0.08566626424360063
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,p[0->0],p[0->0],transition_probability,0.908744149571713
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,p[0->1],p[0->1],transition_probability,1.467163006178972e-55
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,p[1->0],p[1->0],transition_probability,1.1638199232881108e-07
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,p[1->1],p[1->1],transition_probability,1.90896977510128e-122
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,p[2->0],p[2->0],transition_probability,0.11633176435041132
"ARX(2,2)_normal_r3_arN_spfN_nuN","ARX(2,2)",Normal,3,p[2->1],p[2->1],transition_probability,0.021376897698377972
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,sigma2[0],sigma2[0],distribution,4.3871055287355847e-32
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,sigma2[1],sigma2[1],distribution,0.15352572718619906
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,sigma2[2],sigma2[2],distribution,0.9241778333452696
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_1[0],x1[0],mean_process,0.08261580342520704
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_1[1],x1[1],mean_process,0.19561488351603265
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_1[2],x1[2],mean_process,0.05946926899197338
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_2[0],x2[0],mean_process,-0.3700346441929972
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_2[1],x2[1],mean_process,0.14944700728105592
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,Inflation_lag_2[2],x2[2],mean_process,-0.21285856714158444
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,SPF,x3[2],mean_process,1.431857493689208
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,SPF_lag_1,x4[2],mean_process,-0.2666697833612272
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,const[0],const[0],mean_process,-0.895788319841091
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,const[1],const[1],mean_process,-0.24325066585171032
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,const[2],const[2],mean_process,0.17688103726321477
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,p[0->0],p[0->0],transition_probability,0.6652980636876517
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,p[0->1],p[0->1],transition_probability,0.3347009383652535
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,p[1->0],p[1->0],transition_probability,3.5486868843909636e-09
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,p[1->1],p[1->1],transition_probability,0.9117409574784103
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,p[2->0],p[2->0],transition_probability,0.017061837219250253
"ARX(2,2)_normal_r3_arY_spfN_nuN","ARX(2,2)",Normal,3,p[2->1],p[2->1],transition_probability,0.21381666107315658
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,nu,nu,distribution,8.080423068790306
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,sigma2[0],sigma2[0],distribution,0.853009397525838
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,sigma2[1],sigma2[1],distribution,0.13515276096396456
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,Inflation_lag_1,x1,mean_process,0.26018929883594755
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,Inflation_lag_2,x2,mean_process,0.16795282795221786
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,SPF,x3,mean_process,0.3710586607540883
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,SPF_lag_1,x4,mean_process,0.19245937761745818
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,const,const,mean_process,0.0678986628892933
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,p[0->0],p[0->0],transition_probability,0.9104914851061003
"ARX(2,2)_student_t_r2_arN_spfN_nuN","ARX(2,2)",Student t,2,p[1->0],p[1->0],transition_probability,0.04961909436593663
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,nu,nu,distribution,3.2069340221679425
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,sigma2[0],sigma2[0],distribution,0.23807975366924677
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,sigma2[1],sigma2[1],distribution,0.3407474105678027
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,Inflation_lag_1[0],x1[0],mean_process,0.019279501356484315
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,Inflation_lag_1[1],x1[1],mean_process,0.25510062410044254
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,Inflation_lag_2[0],x2[0],mean_process,-0.06660217971579777
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,Inflation_lag_2[1],x2[1],mean_process,0.5379546305563669
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,SPF,x3[1],mean_process,0.4298474812981747
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,SPF_lag_1,x4[1],mean_process,0.03425239631798723
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,const[0],const[0],mean_process,0.4460885007060856
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,const[1],const[1],mean_process,-0.0850421859772217
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,p[0->0],p[0->0],transition_probability,0.8059816129574446
"ARX(2,2)_student_t_r2_arY_spfN_nuN","ARX(2,2)",Student t,2,p[1->0],p[1->0],transition_probability,0.2162454923337837
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,nu,nu,distribution,2.7902773805725802
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,sigma2[0],sigma2[0],distribution,0.2853694259405758
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,sigma2[1],sigma2[1],distribution,0.36603704796886255
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,Inflation_lag_1[0],x1[0],mean_process,-0.0157773796029841
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,Inflation_lag_1[1],x1[1],mean_process,0.3902617099715639
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,Inflation_lag_2[0],x2[0],mean_process,-0.1365580002769672
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,Inflation_lag_2[1],x2[1],mean_process,0.607451606916417
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,SPF[0],x3[0],mean_process,1.2388856973138975
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,SPF[1],x3[1],mean_process,-0.62083275785128
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,SPF_lag_1[0],x4[0],mean_process,-0.5500398151662548
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,SPF_lag_1[1],x4[1],mean_process,0.8164667030329342
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,const[0],const[0],mean_process,0.39073936390566183
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,const[1],const[1],mean_process,-0.08665540651574356
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,p[0->0],p[0->0],transition_probability,0.7913266442666012
"ARX(2,2)_student_t_r2_arY_spfY_nuN","ARX(2,2)",Student t,2,p[1->0],p[1->0],transition_probability,0.2387446998963615
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,nu,nu,distribution,8.07990288435915
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,sigma2[0],sigma2[0],distribution,0.1387133066402365
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,sigma2[1],sigma2[1],distribution,0.1332785067087766
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,sigma2[2],sigma2[2],distribution,0.8530110256258283
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_1,x1,mean_process,0.26019044659966667
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_2,x2,mean_process,0.16796524216219308
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,SPF,x3,mean_process,0.37099917915904385
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,SPF_lag_1,x4,mean_process,0.19251344478952748
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,const,const,mean_process,0.06788454316298267
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,p[0->0],p[0->0],transition_probability,0.3222168606645062
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,p[0->1],p[0->1],transition_probability,0.6243387273298027
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,p[1->0],p[1->0],transition_probability,0.33789426571923153
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,p[1->1],p[1->1],transition_probability,0.6145653534407964
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,p[2->0],p[2->0],transition_probability,0.03239143314309514
"ARX(2,2)_student_t_r3_arN_spfN_nuN","ARX(2,2)",Student t,3,p[2->1],p[2->1],transition_probability,0.05709825982600073
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,nu,nu,distribution,2.157873376084021
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,sigma2[0],sigma2[0],distribution,1.0541442236399086
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,sigma2[1],sigma2[1],distribution,1.0348558166061869e-31
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,sigma2[2],sigma2[2],distribution,1.4365609867288778
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_1[0],x1[0],mean_process,0.06097438702820893
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_1[1],x1[1],mean_process,-0.13152011059663485
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_1[2],x1[2],mean_process,0.26129899779655025
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_2[0],x2[0],mean_process,-0.07224595294136316
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_2[1],x2[1],mean_process,0.13676579446995876
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,Inflation_lag_2[2],x2[2],mean_process,0.5714464010697525
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,SPF,x3[2],mean_process,0.3572841751820865
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,SPF_lag_1,x4[2],mean_process,0.05752050229260704
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,const[0],const[0],mean_process,0.5311588097163098
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,const[1],const[1],mean_process,0.34896494942488315
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,const[2],const[2],mean_process,-0.0971368457753797
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,p[0->0],p[0->0],transition_probability,0.8093469722778983
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,p[0->1],p[0->1],transition_probability,0.045436596839931356
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,p[1->0],p[1->0],transition_probability,0.7418429570904056
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,p[1->1],p[1->1],transition_probability,0.01994093687171039
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,p[2->0],p[2->0],transition_probability,0.1693018502000642
"ARX(2,2)_student_t_r3_arY_spfN_nuN","ARX(2,2)",Student t,3,p[2->1],p[2->1],transition_probability,0.00925845459892539
Constant_normal_r2_arN_spfN_nuN,Constant,Normal,2,sigma2[0],sigma2[0],distribution,0.14863587730241154
Constant_normal_r2_arN_spfN_nuN,Constant,Normal,2,sigma2[1],sigma2[1],distribution,1.323858546400465
Constant_normal_r2_arN_spfN_nuN,Constant,Normal,2,p[0->0],p[0->0],transition_probability,0.9470033574708817
Constant_normal_r2_arN_spfN_nuN,Constant,Normal,2,p[1->0],p[1->0],transition_probability,0.14061068730428417
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,sigma2[0],sigma2[0],distribution,0.043401599749210665
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,sigma2[1],sigma2[1],distribution,0.21255964658349524
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,sigma2[2],sigma2[2],distribution,1.4004918812679876
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,p[0->0],p[0->0],transition_probability,0.8893058834630381
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,p[0->1],p[0->1],transition_probability,0.039426309046531334
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,p[1->0],p[1->0],transition_probability,0.044907322720290334
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,p[1->1],p[1->1],transition_probability,0.9219043412628516
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,p[2->0],p[2->0],transition_probability,0.00010773937553883043
Constant_normal_r3_arN_spfN_nuN,Constant,Normal,3,p[2->1],p[2->1],transition_probability,0.13273298532900277
Constant_student_t_r2_arN_spfN_nuN,Constant,Student t,2,nu,nu,distribution,11.318916419855128
Constant_student_t_r2_arN_spfN_nuN,Constant,Student t,2,sigma2[0],sigma2[0],distribution,0.1450226418115116
Constant_student_t_r2_arN_spfN_nuN,Constant,Student t,2,sigma2[1],sigma2[1],distribution,1.1940878453852106
Constant_student_t_r2_arN_spfN_nuN,Constant,Student t,2,p[0->0],p[0->0],transition_probability,0.9460105399830994
Constant_student_t_r2_arN_spfN_nuN,Constant,Student t,2,p[1->0],p[1->0],transition_probability,0.11741610271422045
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,nu,nu,distribution,72.66853985133024
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,sigma2[0],sigma2[0],distribution,0.04341445280457317
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,sigma2[1],sigma2[1],distribution,0.2128727745358749
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,sigma2[2],sigma2[2],distribution,1.368383475541093
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,p[0->0],p[0->0],transition_probability,0.8888945513911897
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,p[0->1],p[0->1],transition_probability,0.0378805994441286
Constant_student_t_r3_arN_spfN_nuN,Constant,Student t,3,p[1->0],p[1->0],transition_probability,0.04502956287143847
