seed,draw,mean_type,success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_recursion_init_p,selection_recursion_init_n,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,0,-172.28147665913238,364.56295331826476,398.26933359954137,-172.2814766591037,364.5629533182074,398.269333599484,-172.28147665913238,364.56295331826476,398.26933359954137,-2.8677504815277644e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.5243678393453,55.5243678393453,0.0931499206291704,0.1755010302550223,0.8938789167863055,0.0,0.2271213451527883,0.27927774998499927,1.8171123644415648,3.998776703400311,5.59566403953765,27.793715475183088,0.0931499206291704,0.0931499206291704,0.0931499206291704,0.2300926433428197,0.9629913109878453,-0.18589532549961024,-0.16863125172179894,0.07135361698886007,0.759223795512938,0.7683133837161518,0.8946661588291627,9.482091930288867e-08,1.41079624068781e-06,94820.91930288867,1410796.2406878101
1,2,"ARX(1,1)",True,0,-172.28147671131873,364.56295342263746,398.26933370391407,-172.2814767112335,364.562953422467,398.2693337037436,-172.28147671131873,364.56295342263746,398.26933370391407,-8.523670658178162e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.52414127532903,55.52414127532903,0.0931590763410499,0.175504565878324,0.8938777279698764,0.0,0.22713183888547211,0.27929056810813124,1.8171829616095303,3.9986754235147264,5.5955733002454915,27.79397009985507,0.0931590763410499,0.0931590763410499,0.0931590763410499,0.23010315502133183,0.9630423152658316,-0.18591041040781026,-0.1686451792468572,0.07135792786005828,0.7592720774480414,0.7683624581471172,0.8947273815138617,9.482030384774108e-08,1.4107972803178286e-06,94820.30384774107,1410797.2803178285
1,3,"ARX(1,1)",True,0,-172.2814765928996,364.5629531857992,398.2693334670758,-172.28147659291534,364.5629531858307,398.2693334671073,-172.2814765928996,364.5629531857992,398.2693334670758,1.574562702444382e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.51223485402047,55.51223485402047,0.09315237026842,0.175516342729547,0.8938721333353984,0.0,0.22713673594448694,0.2792921537049948,1.8170480706885432,3.9981952679416555,5.594797094605179,27.787771114998495,0.09315237026842,0.09315237026842,0.09315237026842,0.2301072592828951,0.9629686132180832,-0.18592275117909787,-0.1686572456060862,0.07133553796195877,0.7593610651298348,0.7684522003104898,0.8948201672705306,9.482046018736386e-08,1.4107974644110897e-06,94820.46018736386,1410797.4644110897
1,4,"ARX(1,1)",True,0,-172.2814765930466,364.5629531860932,398.2693334673698,-172.28147659303806,364.5629531860761,398.2693334673528,-172.2814765930466,364.5629531860932,398.2693334673698,-8.526512829121202e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.512358075454244,55.512358075454244,0.0931565567379229,0.1755180965145617,0.8938740137662036,0.0,0.22713483074547547,0.2792906289742478,1.8170839514690327,3.99812950852638,5.594703661415295,27.787804452152447,0.0931565567379229,0.0931565567379229,0.0931565567379229,0.23010560415685904,0.9629846567098735,-0.1859102967721463,-0.16864457290620719,0.07135677578685475,0.7592996973726563,0.7683910383363435,0.8947647779869449,9.482064202068366e-08,1.4107973893434516e-06,94820.64202068366,1410797.3893434515
1,5,"ARX(1,1)",True,0,-172.28147659935655,364.5629531987131,398.2693334799897,-172.28147659938764,364.5629531987753,398.2693334800519,-172.28147659935655,364.5629531987131,398.2693334799897,3.1093350116861984e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.51437054195348,55.51437054195348,0.0931475249074373,0.1755141998526453,0.8938731033363361,0.0,0.2271397205684108,0.279294853718812,1.8170745866317637,3.998314577845966,5.59494076435696,27.788616245624798,0.0931475249074373,0.0931475249074373,0.0931475249074373,0.23011040987413087,0.9629762280052151,-0.1859369853229653,-0.16867184870977214,0.07131973001429776,0.759433153179702,0.7685239830937356,0.8948897728271202,9.482057108369757e-08,1.4107958042093551e-06,94820.57108369756,1410795.804209355
1,6,"ARX(1,1)",True,0,-172.28147781127703,364.56295562255406,398.26933590383067,-172.2814778109244,364.5629556218488,398.2693359031254,-172.28147781127703,364.56295562255406,398.26933590383067,-3.526281489030225e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.473131080109326,55.473131080109326,0.093138775757346,0.1755611541086511,0.8938718759149494,0.0,0.22716324772928026,0.27930930312802466,1.8167266053853437,3.9966707288375733,5.592158813791523,27.768136864457546,0.093138775757346,0.093138775757346,0.093138775757346,0.23013361797382928,0.9628110634294035,-0.1859564321816475,-0.16868975210213907,0.07130296364547029,0.75962709218529,0.7687211670324399,0.8951213614953992,9.482167862006147e-08,1.4108072665732717e-06,94821.67862006147,1410807.2665732717
1,7,"ARX(1,1)",True,0,-172.28147662036898,364.56295324073795,398.26933352201456,-172.2814766203797,364.5629532407594,398.269333522036,-172.28147662036898,364.56295324073795,398.26933352201456,1.071498445526231e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.51009806688419,55.51009806688419,0.0931500108431394,0.1755179063268629,0.8938718856235167,0.0,0.22713769572158904,0.27929220564810076,1.8170148102252441,3.998093023602155,5.594631022434615,27.786604368288977,0.0931500108431394,0.0931500108431394,0.0931500108431394,0.23010840120358195,0.9629500190409999,-0.1859323447832368,-0.16866706802065323,0.07132130808079232,0.7594088436696136,0.7684999393581811,0.8948667113065095,9.482040313071512e-08,1.4107967002433206e-06,94820.40313071512,1410796.7002433205
1,8,"ARX(1,1)",True,0,-172.28147668179764,364.5629533635953,398.2693336448719,-172.281476679982,364.562953359964,398.2693336412406,-172.28147668179764,364.5629533635953,398.2693336448719,-1.8156356418330688e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.52392359920562,55.52392359920562,0.093157703614492,0.1755058589589923,0.8938646853484324,0.0,0.22712956708594392,0.279285055230336,1.817198083155226,3.998642876546738,5.595421443684441,27.793321282427545,0.093157703614492,0.093157703614492,0.093157703614492,0.23010059234652894,0.9630315703618688,-0.18590064679196155,-0.16863632398024309,0.07136671491651149,0.7592369250343447,0.7683268944475926,0.8946927129306226,9.482106364446437e-08,1.4107979964516408e-06,94821.06364446438,1410797.9964516407
1,9,"ARX(1,1)",True,0,-172.28147666131633,364.56295332263267,398.2693336039093,-172.28147666125733,364.56295332251466,398.26933360379127,-172.28147666131633,364.56295332263267,398.2693336039093,-5.900346877751872e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.52431291307657,55.52431291307657,0.0931558589407613,0.1755017420710808,0.8938650644435306,0.0,0.22713104119977426,0.2792852106646567,1.8171312649586018,3.9988218605951653,5.595642710374763,27.793463063254755,0.0931558589407613,0.0931558589407613,0.0931558589407613,0.23010175287821294,0.9629972002893086,-0.18590860600760353,-0.16864504096240285,0.07134024954561942,0.7592700338827367,0.7683593911021072,0.8947129007688841,9.482117824391171e-08,1.4107993267197667e-06,94821.17824391172,1410799.3267197667
1,10,"ARX(1,1)",True,0,-172.28147679042243,364.56295358084486,398.26933386212147,-172.2814767865186,364.5629535730372,398.2693338543138,-172.28147679042243,364.56295358084486,398.26933386212147,-3.903835477103712e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.52420850748553,55.52420850748553,0.0931550317685489,0.1755055369562115,0.8938506662236416,0.0,0.22713336178873547,0.27928630518667685,1.8172023771022527,3.998710064686639,5.595424318744781,27.793327660252018,0.0931550317685489,0.0931550317685489,0.0931550317685489,0.23010400376531637,0.9630304192568708,-0.18590921004413927,-0.168645677604743,0.071356078156334,0.759282973764384,0.7683725103559957,0.8947374214018396,9.482132289479481e-08,1.4108030741470395e-06,94821.32289479481,1410803.0741470393
1,11,"ARX(1,1)",True,0,-172.2814766245277,364.5629532490554,398.269333530332,-172.2814766245366,364.5629532490732,398.2693335303498,-172.2814766245277,364.5629532490554,398.269333530332,8.895995051716454e-12,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.50815522816293,55.50815522816293,0.0931531840678696,0.1755223544247181,0.8938765047269386,0.0,0.22713424404107233,0.27928933766343067,1.817036424485879,3.9979470474785823,5.594423403888138,27.785656794632608,0.0931531840678696,0.0931531840678696,0.0931531840678696,0.23010493937214185,0.9629590063580565,-0.18590999454675267,-0.16864407176865248,0.071354548027443,0.7593134899461493,0.768405156198132,0.8947805246140123,9.482064065551696e-08,1.4107975667597872e-06,94820.64065551695,1410797.5667597873
1,12,"ARX(1,1)",True,0,-172.28147659606765,364.5629531921353,398.2693334734119,-172.2814765960863,364.5629531921726,398.2693334734492,-172.28147659606765,364.5629531921353,398.2693334734119,1.864464138634503e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,55.5141235760215,55.5141235760215,0.0931603104631926,0.1755141117751075,0.8938735468412915,0.0,0.22712776306344384,0.279283229545619,1.817055185880005,3.9982585622162192,5.594896140349356,27.78878357307259,0.0931603104631926,0.0931603104631926,0.0931603104631926,0.23009848414372472,0.9629704468621147,-0.18588954179032177,-0.1686243079861252,0.07136920137247403,0.7591928871827724,0.7682837637099719,0.8946505065905683,9.482074807784301e-08,1.41079940552537e-06,94820.74807784302,1410799.40552537
