set,my_function,justin_function,numerical_100,numerical_500,numerical_1000,numerical_5000,numerical_10000,numerical_50000
"p q05, n median",0.0002607919741421938,0.000494792009703815,0.00856779096648097,0.04272208397742361,0.08826800005044788,0.43258920905645937,0.9102435839595273,4.547798500047065
"p median, n median",0.0003909999504685402,0.0005529170157387853,0.007528958027251065,0.03579579200595617,0.07301470800302923,0.3673955419799313,0.7613286670530215,3.811725041945465
"p q95, n median",0.00034054194111377,0.0005286670057103038,0.006381166982464492,0.03082941600587219,0.06631949997972697,0.3257940000621602,0.6520170830190182,3.2415270000929013
"p median, n q05",0.0003471249947324395,0.0005335829919204116,0.007596875075250864,0.03579745802562684,0.07368012506049126,0.3566885000327602,0.7479112499859184,3.6526957909809425
"p median, n q95",0.00043283298145979643,0.0006104169879108667,0.005851207999512553,0.028400875045917928,0.06107962504029274,0.290035416954197,0.5936936249490827,2.9724451669026166
