mean_type,seed,draw,stored_job_loglik,stable_loglik,saddlepoint_loglik,normal_loglik,exact_mpmath_loglik,head_default_loglik,speedup_scipy_fast_loglik,stored_minus_stable,stored_avg_log_density,stable_avg_log_density,max_shape,median_total_shape,median_variance,min_sigma,old_max_shape_saddle_obs,max_exact_minus_stable,max_head_default_minus_stable,max_abs_skewness,max_excess_kurtosis
"ARX(2,1)",45,25,4920.708869162287,-722.4341879999299,-722.7255010256436,-720.5045350545793,-722.4380463372843,-722.4380463372843,-16378.829754123333,5643.143057162217,22.88701799610366,-3.3601590139531625,157.96398583851524,194.89338611118495,135.47371524141366,0.2663306874676406,0,0.0002609851524910667,0.0002609851524910667,2.6662517629741336,15.427456331963102
constant,29,31,4846.431511982172,-770.7118822295834,-770.6706467875764,-770.2031942425272,-1889.5667205012435,-1889.5667205012253,-20683.194302373384,5617.143394211756,22.54154191619615,-3.584706428974806,171.9426047358582,234.73879451327485,225.11100644085113,0.3593147597851853,0,0.0005538729496934458,0.0005538729496934458,1.2167154259328266,2.229762139319764
"ARX(2,1)",15,3,3098.339387719512,-599.0093068074907,-598.9692386068392,-598.1717975250015,-1186.8621123014796,-1170.974922825461,-11383.31357872536,3697.348694527003,14.41088087311401,-2.786089799104608,199.71216463489145,220.0503939380422,42.68491430611565,0.1345230293586556,63,93.16554655300988,8.516509633516023e-05,1.0956935038801212,1.8039801047321387
"ARX(2,2)",35,31,2892.030436010894,-734.4488523773127,-734.25108628816,-730.1722763189186,-807.8123591318122,-807.8123591318094,-16138.224379321942,3626.4792883882064,13.451304353539042,-3.416041173847966,173.47945680437826,205.71707025812083,146.58522411838783,0.2558319090170172,0,1.3266275014522932e-05,1.3266275014522932e-05,2.9391500055716566,15.775863161731486
"ARX(1,1)",20,14,1330.841152565254,-590.1300667793485,-590.0846262224286,-592.7497793599048,-584.8731788048194,-584.8731788042514,-16295.310205702643,1920.9712193446026,6.189958849140717,-2.744791008276039,170.20309451836928,206.89593352704298,40.148630987602466,0.134750588119327,0,5.282621500538175,5.282621500538175,1.229631890574659,2.2740621068929037
"ARX(2,1)",41,2,1113.7516836211732,-684.6683081170962,-684.6022493797919,-680.7040217472525,-684.8619383184446,-684.8619383184445,-11098.258195982446,1798.4199917382693,5.180240388935689,-3.1845037586841682,146.84125393831545,164.9777236310592,90.35922967011192,0.2030465676596353,0,0.0,0.0,1.0967391246637193,1.805989971883533
"ARX(1,1)",13,32,846.3034270838673,-694.3324949796198,-694.2827200642507,-692.9409517888873,-791.043351064676,-791.043351064676,-15817.806207731914,1540.6359220634872,3.936295009692406,-3.2294534650214874,156.0623426134956,190.5299326404368,104.10795489684249,0.2394266697424451,0,0.000273570149011082,0.000273570149011082,1.228699531569223,2.2720997113516344
constant,1,9,651.3535256935946,-561.1096005002539,-561.0324232612577,-561.6200005769363,-1101.1363010593352,-676.4716850124834,-6671.612793042206,1212.4631261938484,3.029551282295789,-2.6098120953500183,209.91119419767898,191.03212380406475,30.103505603996794,0.0848357578507476,58,35.31651679871152,31.556836509955254,4.225602782634811,28.65758598534104
