set,p,n,sigma_p,sigma_n,my_loglik,justin_loglik,my_minus_justin,my_seconds,justin_seconds,speedup_vs_justin,my_bad_obs,justin_bad_obs
"p q05, n median",1.428537522056322,0.3319698932596929,0.23549086493254084,0.5555320130975405,-214.16283904692767,-214.16283904692767,0.0,0.0002607919741421938,0.000494792009703815,1.8972670126498425,0,0
"p median, n median",2.8130037725112156,0.3319698932596929,0.23549086493254084,0.5555320130975405,-188.95711717724467,-188.95711717724467,0.0,0.0003909999504685402,0.0005529170157387853,1.41411019381516,0,0
"p q95, n median",6.4330147738318635,0.3319698932596929,0.23549086493254084,0.5555320130975405,-194.3404812071806,-194.34048120718063,2.842170943040401e-14,0.00034054194111377,0.0005286670057103038,1.5524284732190563,0,0
"p median, n q05",2.8130037725112156,0.07135474227375263,0.23549086493254084,0.5555320130975405,-212.87747286234776,-212.87747286234776,0.0,0.0003471249947324395,0.0005335829919204116,1.5371494418939553,0,0
"p median, n q95",2.8130037725112156,2.8341943152595137,0.23549086493254084,0.5555320130975405,-235.88771667163417,-235.8877166716342,2.842170943040401e-14,0.00043283298145979643,0.0006104169879108667,1.4102829822536644,0,0
