mean_type,seed,draw,observation,residual,p_t,n_t,total_shape,conditional_variance,sigma_p,sigma_n,exact_mpmath_log_density,head_default_log_density,stable_log_density,saddlepoint_log_density,normal_log_density,max_exact_or_head_minus_stable,standardized_skewness,excess_kurtosis,fourier_log_density
"ARX(2,1)",45,25,145,1.6100664486976926,157.8217106857871,37.35434187270536,195.17605255849247,135.46089117254508,0.2663306874676406,1.8239213092244344,-3.362966680488057,-3.362966680488057,-3.363227665640548,-3.363227665640548,-3.382848515438646,0.0002609851524910667,-0.2837381245995979,0.13543230569961257,
"ARX(2,1)",45,25,210,1.0719838253426377,157.87455717132724,37.36574160339076,195.24029877471798,135.5025630393273,0.2663306874676406,1.8239213092244344,-3.3643700914543615,-3.3643700914543615,-3.364594533463061,-3.364594533463061,-3.3776741341787684,0.00022444200869964348,-0.28369368386561633,0.13539033125659208,
"ARX(2,1)",45,25,205,0.9157425653137946,157.88011581593523,37.401900085448744,195.28201590138397,135.62324534773225,0.2663306874676406,1.8239213092244344,-3.3655923373042924,-3.3655923373042924,-3.365804299399811,-3.365804299399811,-3.3769705221046964,0.0002119620955185475,-0.2835927903112182,0.1352800296480603,
constant,29,31,158,-4.011699430798221,64.58538997742255,171.63100904426972,236.21639902169227,225.3927073293092,1.7739074609103065,0.3593147597851853,-3.6356507865662024,-3.6356507865662024,-3.636204659515896,-3.636204659515896,-3.663562193931,0.0005538729496934458,0.20837641533282505,0.07586965315252957,
constant,29,31,182,-0.9840005187610079,64.57839132757053,171.78183628808102,236.36022761565155,225.3901572116617,1.7739074609103065,0.3593147597851853,-3.6227083001523397,-3.6227083001523397,-3.623173014881437,-3.623173014881437,-3.6300029571251997,0.00046471472909725975,0.20835272565634488,0.07586348189698487,
constant,29,31,204,-0.898788907754311,64.56538944931405,171.72141938017083,236.28680882948487,225.34144332985832,1.7739074609103065,0.3593147597851853,-3.62283668760557,-3.62283668760557,-3.6232988399263224,-3.6232988399263224,-3.629539360940787,0.00046215232075219603,0.20837903748591008,0.07588095404631712,
"ARX(2,1)",15,3,177,0.09134398901547502,42.92292239712146,187.79877984725468,230.72170224437613,42.93725193339827,0.9597693782569828,0.1345230293586556,90.36478467738692,-2.800761875622955,-2.800761875622955,-2.800761875622955,-2.7989055913280225,93.16554655300988,0.2665045911846675,0.11873324160842315,-2.8007273373957715
"ARX(2,1)",15,3,171,0.2476004251603412,42.93933259821842,189.96617855443515,232.90551115265356,42.99159052169244,0.9597693782569828,0.1345230293586556,87.26465925600144,-2.8051668046716287,-2.8051668046716287,-2.8051668046716287,-2.800153796420242,90.06982606067307,0.2660649850316086,0.11848079600125866,-2.8051289190745483
"ARX(2,1)",15,3,160,0.14289328424324965,44.330507888418055,199.71216463489145,244.0426725233095,44.44944944465846,0.9597693782569828,0.1345230293586556,77.42851199026859,-2.8191409200202973,-2.8191409200202973,-2.8191409200202973,-2.816344503327893,80.24765291028889,0.2612238020578278,0.11443086704889997,-2.8190671873079047
"ARX(2,2)",35,31,145,1.2717729806215148,169.59004609906805,35.63812684555588,205.22817294462394,146.48229027581726,0.2558319090170172,1.9490547317975944,-3.4024034075191594,-3.4024034075191594,-3.402416673794174,-3.402416673794174,-3.4179116271744006,1.3266275014522932e-05,-0.2944694505038017,0.14401411223708793,
"ARX(2,2)",35,31,0,-0.860021108529947,2.6647708790957423,0.2820992798644878,2.94687015896023,1.2460519543393227,0.2558319090170172,1.9490547317975944,-2.214564554876869,-2.2145645548740918,-2.2145645548740918,-2.0384552222003975,-1.3257205126958467,0.0,-2.9391500055716566,15.775863161731486,
