model,eligible_ARX11_rows,p_min,p_q05,p_median,p_q95,p_max,n_min,n_q05,n_median,n_q95,n_max,sigma_p_min,sigma_p_q05,sigma_p_median,sigma_p_q95,sigma_p_max,sigma_n_min,sigma_n_q05,sigma_n_median,sigma_n_q95,sigma_n_max
BadGood,994,0.006955174053329544,1.428537522056322,2.8130037725112156,6.433014773831862,9753.41454380304,0.007258317997998163,0.07135474227375262,0.33196989325969284,2.834194315259513,375.9309478336146,0.0093843797586492,0.22471954590047943,0.23549086493254084,0.3168384840589272,0.4713761974772246,0.057608746986051,0.42393225555238995,0.5555320130975405,0.5760935099527026,1.9999974937635503
InflationDeflation,2,0.37398178159676876,0.3739817818366411,88.32671409451908,4873.166996082142,19278.31640637452,1.7530252076949426,1.7530252160523503,6.672795861695671,9.62692734892822,106.48444219023726,0.0094920782548412,0.00955625750623894,0.010133870768818599,0.01071148403139826,0.010775663282796,0.3105531374416699,0.3232636010638881,0.43765777366385156,0.552051946263815,0.5647624098860332
Full,1001,0.457906190281183,1.7136541162300656,2.9316705874780347,6.097390194297982,249.58370815325654,0.007058545163077458,0.0853411711865766,0.3128356555061146,3.298165974793182,226.20402568915443,0.0398228413305042,0.2036334297897819,0.2192220312232137,0.2820600310063033,0.4589859321223216,0.0338590161832572,0.4254261146176315,0.5654209914476254,0.5907814573452497,0.7057955483935698
