set,source,p,n,sigma_p,sigma_n,npoints,numerical_loglik,numerical_minus_justin,numerical_minus_my,numerical_seconds,numerical_bad_obs
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,250,-194.53917575649325,-9.971272368838356,-9.971272368838356,0.05808310699649155,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,500,-184.51144759741325,0.05645579024164249,0.05645579024164249,0.1140976760070771,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,1000,-184.57874232466673,-0.010838937011840244,-0.010838937011840244,0.2308297558920458,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,2500,-184.565409083409,0.0024943042458858145,0.0024943042458858145,0.606471637962386,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,5000,-184.58862410308132,-0.020720715426421066,-0.020720715426421066,1.171304280986078,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,10000,-184.62606716397812,-0.05816377632322656,-0.05816377632322656,2.3394245649687946,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,25000,-184.56284022709704,0.0050631605578530525,0.0050631605578530525,5.98272408999037,0
provided_reference,User supplied fixed-shape parameter vector,2.627875,0.281123,0.285666,0.800204,50000,-184.57067206531315,-0.0027686776582527273,-0.0027686776582527273,11.990435237064958,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,250,-193.29385748047142,-2.2614664281969965,-2.2614664281970533,0.05492863501422107,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,500,-190.1423837866185,0.8900072656559246,0.8900072656558677,0.10852213099133223,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,1000,-190.65648350775564,0.37590754451878183,0.375907544518725,0.21638379292562604,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,2500,-191.05888587659376,-0.026494824319343024,-0.026494824319399868,0.5454740079585463,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,5000,-190.9547127902203,0.0776782620541212,0.07767826205406436,1.1102454829961061,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,10000,-191.0187945476735,0.013596504600911885,0.013596504600855042,2.215240885037929,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,25000,-191.03090471553253,0.0014863367418911366,0.0014863367418342932,5.662703650072217,0
pooled_median_estimates,"Pooled median over eligible ARX(1,1) BG/ID/Full shape paths",2.9316705874780347,0.33196989325969284,0.2192220312232137,0.5555320130975405,50000,-191.03027340116586,0.002117651108562768,0.0021176511085059246,11.38911037798971,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,250,-262.08856791271296,-0.4828213259275458,-0.48282132592737526,0.039707432966679335,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,500,-261.8344036533589,-0.22865706657347573,-0.2286570665733052,0.07677781104575843,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,1000,-261.7170330234983,-0.11128643671287364,-0.11128643671270311,0.15374448092188686,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,2500,-261.649744229536,-0.0439976427505826,-0.04399764275041207,0.38688517606351525,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,5000,-261.62783903073245,-0.022092443947030915,-0.022092443946860385,0.7834045490017161,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,10000,-261.6169849552523,-0.011238368466877091,-0.01123836846670656,1.5701314599718899,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,25000,-261.61050406298546,-0.0047574762000408555,-0.004757476199870325,4.055755915935151,0
BadGood_best_AIC_median_shape,"BadGood eligible ARX(1,1) best AIC row, median recursive shape fixed over time",8.268019628476479,165.15577347684192,0.3133275261831346,0.057608746986051,50000,-261.60834902652005,-0.0026024397346304795,-0.0026024397344599492,8.196196733042598,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,250,-266.22523503641804,1738.380460418253,-4.351158014527755,0.037395801045931876,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,500,-265.9256887801842,1738.680006674487,-4.051611758293916,0.0724636729573831,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,1000,-265.8517925532889,1738.7539029013824,-3.9777155313985872,0.14583967998623848,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,2500,-265.7387162138117,1738.8669792408596,-3.8646391919214125,0.37065970699768513,0
InflationDeflation_best_AIC_median_shape,"InflationDeflation eligible ARX(1,1) best AIC row, median recursive shape fixed over time",207.89831694247783,1.7626663467872108,0.0094920782548412,0.5647624098860332,5000,-266.417141695332,1738.1885537593391,-4.543064673441734,0.756585314986296,0
